"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	
2243	533	1766	416	428	468	492	513	225	425	985	667	505	412	447	323	492	
2200	450	1750	450	450	450	500	500	250	450	1000	650	450	400	450	350	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1538	348	1063	239	309	272	261	314	116	241	570	400	331	195	251	184	346	
62	19	71	27	36	35	36	41	23	58	100	51	63	78	60	17	31	
600	83	616	184	105	143	203	145	111	151	330	199	56	127	139	149	123	
62	19	71	27	36	35	36	41	23	58	100	51	63	78	60	17	31	
1538	348	1063	239	309	272	261	314	116	241	570	400	331	195	251	184	346	
16	1	9	6	1	4	4	6	0	2	6	1	4	0	2	4	5	
1584	366	1125	260	344	303	293	349	139	297	664	450	390	273	309	197	372	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	0	8	2	0	1	0	1	0	1	4	0	1	3	0	1	2	
209	49	170	39	37	29	33	23	17	20	62	38	48	28	27	11	38	
100	30	94	10	21	17	22	30	9	16	60	44	25	17	27	10	36	
1236	280	817	206	282	250	232	288	112	257	529	359	304	222	249	172	292	
16	2	13	1	2	1	3	3	1	2	1	4	5	0	4	0	2	
9	1	8	1	2	3	1	2	0	0	6	4	5	3	0	0	0	
5	3	12	1	0	1	1	1	0	0	2	1	1	0	1	0	2	
4	1	3	0	0	1	1	1	0	1	0	0	1	0	1	3	0	
