"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	
431	197	249	267	1099	175	335	256	222	147	186	1418	845	1516	360	1355	1207	1006	1104	1084	1368	1202	1118	594	
470	210	240	270	1000	190	350	280	210	130	170	1400	830	1350	360	1300	1200	1000	1100	1100	1300	1200	1100	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
209	119	148	133	602	106	203	145	110	99	115	869	502	1045	179	642	621	419	599	564	632	659	608	396	
52	35	24	35	122	29	28	27	50	14	15	128	66	47	49	86	43	83	53	56	130	61	35	65	
209	56	68	102	276	55	119	108	50	17	40	403	262	258	132	572	536	498	448	480	538	480	457	89	
52	35	24	35	122	29	28	27	50	14	15	128	66	47	49	86	43	83	53	56	130	61	35	65	
209	119	148	133	602	106	203	145	110	99	115	869	502	1045	179	642	621	419	599	564	632	659	608	396	
0	0	0	0	8	0	0	0	0	0	0	3	5	16	1	16	12	10	11	6	7	8	10	5	
261	154	172	168	716	135	231	172	160	113	130	994	563	1076	227	712	652	492	641	614	755	712	633	456	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	1	8	1	2	0	3	0	0	7	6	12	2	6	3	7	6	7	8	6	10	3	
30	9	18	20	92	19	39	30	9	7	19	210	73	258	28	130	102	69	85	99	110	116	100	79	
27	8	9	10	66	3	16	21	16	7	8	98	62	85	20	63	75	30	62	60	76	65	47	43	
197	136	145	133	527	111	170	119	124	96	100	650	399	684	174	486	452	370	467	436	543	505	460	311	
1	1	0	0	7	1	3	0	2	2	1	10	3	11	1	8	2	8	6	7	4	6	9	9	
1	0	0	0	8	0	1	1	2	1	1	8	8	7	0	9	7	5	3	2	7	6	1	8	
2	0	0	3	3	0	0	0	3	0	1	5	7	7	0	5	8	1	11	3	0	4	2	1	
1	0	0	1	5	0	0	1	1	0	0	6	5	12	2	5	3	2	1	0	7	4	4	2	
