"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №363"	
157	138	782	290	100	158	541	431	382	126	1060	57	587	125	184	98	180	697	411	261	1284	2112	537	193	116	742	195	909	100	112	1610	103	112	193	784	719	149	89	88	64	587	85	99	
155	140	800	295	100	155	560	435	400	130	1085	55	615	125	180	95	175	730	415	260	1280	2100	530	205	115	750	190	920	100	110	1640	100	100	195	775	725	145	90	85	65	610	75	90	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57	63	400	138	72	58	267	237	216	69	464	43	364	101	123	50	116	376	260	147	634	1080	286	91	62	380	139	456	69	89	772	54	62	89	353	331	83	67	68	38	295	52	50	
23	12	76	46	2	29	37	16	16	19	88	7	23	7	37	7	10	40	25	9	33	50	17	16	10	51	3	55	6	4	59	4	5	22	66	38	12	4	0	0	39	6	3	
75	65	324	111	26	68	256	182	168	42	533	5	228	17	20	38	49	314	130	104	613	970	227	98	43	319	48	409	25	17	809	42	33	84	356	356	50	19	17	27	276	17	37	
23	12	76	46	2	29	37	16	16	19	88	7	23	7	37	7	10	40	25	9	33	50	17	16	10	51	3	55	6	4	59	4	5	22	66	38	12	4	0	0	39	6	3	
57	63	400	138	72	58	267	237	216	69	464	43	364	101	123	50	116	376	260	147	634	1080	286	91	62	380	139	456	69	89	772	54	62	89	353	331	83	67	68	38	295	52	50	
0	0	5	1	0	1	1	0	2	0	1	0	2	0	0	0	0	1	2	1	2	5	2	0	0	2	0	1	0	0	5	1	1	1	4	0	0	0	0	0	6	1	1	
80	75	471	183	74	86	303	253	230	88	551	50	385	108	160	57	126	415	283	155	665	1125	301	107	72	429	142	510	75	93	826	57	66	110	415	369	95	71	68	38	328	57	52	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	3	2	0	1	0	1	1	0	3	0	1	0	1	0	0	0	1	1	3	7	1	0	0	3	1	3	0	0	3	1	0	0	1	1	1	0	0	0	2	0	1	
4	7	47	24	10	9	22	18	51	8	48	1	48	1	11	6	6	48	30	23	131	282	81	28	6	73	19	83	3	20	101	2	1	2	21	29	2	1	0	5	34	0	2	
11	5	21	10	3	16	24	10	11	3	40	3	27	0	6	2	15	12	13	3	47	53	9	3	2	27	4	20	4	1	46	3	5	11	26	17	7	0	2	11	25	2	1	
64	62	396	143	61	58	257	219	165	74	458	46	306	107	141	49	105	347	235	125	474	758	201	73	59	324	117	399	68	69	665	50	60	96	363	321	85	70	66	22	265	55	48	
1	0	2	2	0	1	0	0	1	2	0	0	0	0	1	0	0	2	2	1	1	6	3	2	2	0	1	2	0	2	8	0	0	0	2	0	0	0	0	0	0	0	0	
0	0	1	2	0	1	0	4	1	0	2	0	2	0	0	0	0	2	0	1	5	10	2	1	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	
0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	1	2	3	0	0	2	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	2	6	4	0	0	1	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	
