"УИК №1850"	"УИК №1851"	"УИК №1853"	"УИК №1854"	"УИК №1856"	"УИК №1857"	"УИК №1858"	"УИК №1859"	"УИК №1860"	"УИК №1861"	"УИК №1863"	"УИК №1864"	"УИК №1865"	"УИК №1866"	"УИК №1867"	"УИК №1868"	"УИК №1869"	"УИК №1870"	
204	409	73	250	573	50	114	116	601	179	640	1609	1636	1641	2526	1572	1593	1792	
251	456	117	406	607	68	114	119	669	205	650	1567	1628	1582	2517	1543	1609	1718	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100	266	51	180	380	39	90	73	365	90	391	987	1045	1010	1680	1021	994	1247	
21	31	9	27	16	6	0	10	47	4	34	35	49	39	109	26	33	32	
130	159	57	199	211	23	24	36	257	111	225	545	534	533	728	496	582	439	
21	31	9	27	16	6	0	10	47	4	34	35	49	39	109	26	33	32	
100	266	51	180	380	39	90	73	365	90	391	987	1044	1010	1680	1021	994	1247	
3	2	0	1	5	0	1	0	4	2	4	11	7	11	17	14	9	16	
118	295	60	206	391	45	89	83	408	92	421	1011	1086	1038	1772	1033	1018	1263	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	0	2	0	1	0	1	2	3	3	4	3	10	4	6	6	
20	51	20	34	74	6	11	11	76	15	94	166	162	167	308	161	142	194	
11	12	5	28	16	0	7	9	21	3	24	74	93	87	130	90	93	101	
79	224	32	140	285	36	69	62	301	72	293	753	799	757	1286	749	743	936	
1	1	1	1	6	1	0	0	6	0	2	4	2	10	13	11	15	14	
2	3	1	2	7	0	0	1	1	0	4	4	10	7	8	4	5	3	
1	2	1	0	0	2	0	0	2	0	0	4	8	5	12	8	7	3	
3	1	0	1	1	0	1	0	0	0	1	3	8	2	5	6	7	6	
