"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №966"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №972"	"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	
1104	806	874	915	1053	852	828	1357	1421	520	350	103	184	194	314	146	243	332	365	358	220	440	126	314	406	142	398	247	429	725	235	271	413	611	220	315	168	
1010	750	800	850	980	770	780	1240	1350	490	310	100	180	200	300	130	250	310	370	340	230	420	110	300	380	120	380	230	400	620	220	260	400	580	190	290	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
860	649	496	722	872	712	669	1082	1203	400	281	81	152	152	207	82	148	178	243	239	99	311	86	207	252	70	342	164	302	434	143	160	301	475	123	219	112	
44	38	55	41	23	37	51	76	44	55	29	9	15	25	77	42	60	65	81	66	38	62	14	65	63	27	32	54	89	148	45	47	80	57	52	50	36	
106	63	249	87	85	21	60	82	103	35	0	10	13	23	16	6	42	67	46	35	93	47	10	28	65	23	6	12	9	38	32	53	19	48	15	21	2	
44	38	55	41	23	37	51	76	44	55	29	9	15	25	77	42	60	65	81	66	38	62	14	65	63	27	32	54	89	148	45	47	80	57	52	50	36	
860	649	496	722	872	712	669	1082	1203	400	281	81	152	152	207	82	148	178	243	239	99	311	86	207	252	70	342	164	302	434	143	160	301	475	123	219	112	
0	6	6	6	0	21	3	5	11	3	4	0	0	1	0	0	2	4	2	3	1	4	1	1	0	1	3	1	0	5	1	1	0	5	0	2	1	
904	681	545	757	895	728	717	1153	1236	452	306	90	167	176	284	124	206	239	322	302	136	369	99	271	315	96	371	217	391	577	187	206	381	527	175	267	147	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	4	3	5	2	3	5	7	4	2	3	0	0	1	0	1	1	1	0	1	1	2	1	2	0	0	1	0	3	2	0	1	3	2	1	0	1	
49	72	70	55	50	24	20	70	57	21	7	4	11	18	13	6	9	20	10	26	21	56	11	24	11	15	17	12	28	18	30	10	39	47	11	10	15	
58	23	40	43	54	23	68	33	39	23	7	1	6	7	12	9	17	24	4	33	4	23	11	8	18	6	25	9	36	26	10	18	19	21	11	14	4	
754	575	423	641	761	667	618	1029	1116	402	282	85	147	149	256	106	176	189	307	235	107	282	76	230	286	70	327	194	321	525	145	175	313	449	149	239	127	
11	2	4	4	20	3	4	7	8	1	3	0	3	0	0	1	0	2	0	5	1	3	0	4	0	1	0	1	0	2	2	0	5	2	1	1	0	
4	2	3	2	2	3	0	4	5	2	3	0	0	1	1	0	1	1	1	1	2	2	0	2	0	4	1	1	1	3	0	1	1	5	2	2	0	
14	2	2	2	2	2	1	0	5	1	1	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	
6	1	0	5	4	3	1	3	2	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	
