"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	
188	344	936	834	1095	1166	456	162	200	136	254	239	512	366	395	249	290	514	429	
200	355	990	890	1180	1240	460	170	215	145	260	245	570	380	410	260	300	550	460	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
135	222	595	630	841	798	330	146	139	94	151	178	285	284	263	182	208	393	336	
22	63	90	80	50	67	54	8	26	16	36	35	55	54	67	23	42	36	46	
43	70	305	180	289	375	76	16	50	35	73	32	230	42	80	55	50	121	78	
22	63	90	80	50	67	54	8	26	16	36	35	55	54	67	23	42	36	46	
135	222	595	630	841	798	330	146	139	94	151	178	285	284	263	182	208	393	336	
0	0	5	12	5	9	0	0	0	0	1	0	6	0	4	0	1	4	0	
157	285	680	698	886	856	384	154	165	110	186	213	334	338	326	205	249	425	382	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	6	8	5	4	2	0	1	0	4	1	3	3	3	1	1	3	0	
12	9	83	76	164	136	36	2	4	5	19	20	30	45	19	10	13	29	33	
10	27	64	61	93	92	33	11	11	8	23	15	43	57	30	20	13	30	31	
131	245	509	525	600	603	306	140	144	97	137	173	253	229	261	168	217	356	310	
1	0	6	10	5	8	2	0	2	0	2	2	1	2	6	0	1	3	2	
1	1	5	8	6	10	5	0	3	0	1	1	4	2	7	3	2	0	5	
0	3	5	9	6	2	0	0	0	0	0	1	0	0	0	2	0	1	1	
0	0	2	1	7	1	0	1	0	0	0	0	0	0	0	1	2	3	0	
