"УИК №4701"	"УИК №4703"	"УИК №4704"	"УИК №4705"	"УИК №4708"	"УИК №4709"	"УИК №4710"	"УИК №4712"	"УИК №4714"	"УИК №4715"	"УИК №4717"	"УИК №4719"	"УИК №4720"	"УИК №4721"	"УИК №4724"	"УИК №4725"	
355	325	316	1014	493	277	275	1244	640	1294	271	789	998	1061	237	314	
340	300	280	900	450	270	255	1150	600	1200	250	700	880	958	250	300	
12	34	41	38	60	31	4	41	0	85	3	21	81	0	0	0	
228	209	188	655	322	193	217	995	508	980	236	590	650	795	201	235	
16	42	12	52	43	11	21	39	46	60	9	33	25	110	13	16	
84	15	39	155	25	35	13	75	46	75	2	56	124	53	36	49	
28	76	53	90	103	42	25	80	46	145	12	54	106	110	13	16	
228	209	188	655	322	193	217	995	507	980	236	590	650	795	201	235	
3	2	2	7	14	3	5	11	5	17	4	10	11	19	4	4	
253	283	239	738	411	232	237	1064	548	1108	244	634	745	886	210	247	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	3	0	2	0	3	3	4	1	6	3	3	0	1	
8	15	23	67	47	24	21	93	61	111	19	80	53	82	8	15	
15	25	16	45	21	11	9	74	37	80	19	54	45	74	15	28	
226	236	193	605	334	189	206	849	424	877	201	473	611	698	183	203	
0	2	1	8	2	2	0	24	11	10	3	8	14	14	3	0	
2	4	5	3	4	0	1	11	6	8	1	6	8	7	1	0	
1	1	0	1	1	1	0	8	4	10	0	3	4	3	0	0	
0	0	0	6	2	3	0	2	2	8	0	4	7	5	0	0	
