"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	
2827	2472	2275	2425	2002	2382	1977	2342	2420	2048	2167	2313	2168	2170	1989	2323	2116	2302	1053	1990	1715	2753	2625	2417	2758	2475	2490	2544	2790	2808	2427	2287	2219	2688	2614	2275	2594	2655	2956	2773	2798	2741	2555	2314	2760	2285	2444	2048	1920	1989	1852	2669	2214	
2500	2100	2000	2000	1800	2100	1800	2100	2200	1800	2000	2100	2000	2000	1800	2100	1900	2000	900	1800	1600	2600	2400	2200	2500	2300	2200	2300	2500	2600	2200	2100	2000	2400	2400	2000	2400	2400	2700	2400	2600	2500	2300	2100	2500	2100	2200	1900	1700	1800	1700	2500	1900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1306	1369	1270	1274	1220	1290	1181	1383	1432	1070	1112	1285	1482	1443	1277	1476	1124	1423	596	1334	1200	1628	1424	1506	1838	1482	1563	1595	2001	1597	1464	1426	1361	1697	1617	1130	1730	1723	1927	1667	2002	1707	1542	1453	1656	1555	1312	1247	1273	1401	1400	2019	1574	
139	75	61	225	67	52	66	71	55	64	70	55	61	27	61	50	38	37	22	67	66	34	78	44	28	35	22	38	48	145	54	30	18	36	41	38	57	36	39	159	37	37	35	38	27	12	28	20	21	24	17	28	20	
1055	656	669	501	513	758	553	646	713	666	818	760	457	530	462	574	738	540	282	399	334	938	898	650	634	783	615	667	451	858	682	644	621	667	742	832	613	641	734	574	561	756	723	609	817	533	860	633	406	375	283	453	306	
139	75	61	225	67	52	66	71	55	64	70	55	61	27	61	50	38	37	22	67	66	34	78	44	28	35	22	38	48	145	54	30	18	36	41	38	57	36	39	159	37	37	35	38	27	12	28	20	21	24	17	28	20	
1306	1369	1270	1274	1220	1290	1181	1383	1432	1070	1112	1285	1482	1443	1216	1476	1124	1423	596	1334	1200	1628	1424	1506	1838	1482	1563	1595	2001	1597	1464	1425	1343	1697	1617	1130	1730	1723	1927	1667	2002	1706	1542	1453	1656	1555	1312	1247	1273	1377	1400	2019	1574	
9	16	15	18	14	18	5	0	12	13	16	20	0	15	12	14	16	6	0	6	3	19	24	21	12	18	22	25	16	21	20	21	10	17	0	15	26	19	22	10	29	34	13	18	16	0	20	11	7	9	13	23	20	
1436	1428	1316	1481	1273	1324	1242	1454	1475	1121	1166	1320	1543	1455	1265	1512	1146	1454	618	1395	1263	1643	1478	1529	1854	1499	1563	1608	2033	1721	1498	1434	1351	1716	1658	1153	1761	1740	1944	1816	2010	1709	1564	1473	1667	1567	1320	1256	1287	1392	1404	2024	1574	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	8	9	6	10	10	11	7	10	9	2	3	9	8	13	6	4	10	3	10	2	12	13	19	12	15	8	13	23	10	13	10	14	8	6	7	9	9	10	14	11	17	12	10	16	9	6	7	3	7	5	12	8	
154	200	158	204	166	163	132	198	136	148	121	173	147	163	165	143	126	182	83	125	33	234	187	146	213	225	175	187	231	212	190	184	198	248	171	164	256	225	235	215	249	216	207	176	237	211	194	161	242	248	154	247	216	
93	101	97	105	96	86	79	115	74	75	100	91	80	92	74	73	76	109	51	103	62	81	84	98	90	102	96	89	173	113	86	108	87	112	85	32	86	100	117	141	97	112	103	82	93	92	83	78	88	145	88	142	126	
1144	1060	990	1124	977	1025	987	1072	1210	852	919	995	1255	1151	958	1230	901	1092	450	1126	1151	1252	1122	1193	1469	1092	1220	1253	1543	1331	1155	1088	994	1285	1328	920	1360	1333	1493	1379	1575	1302	1183	1158	1259	1192	993	976	907	961	1102	1549	1173	
10	15	16	12	7	8	16	20	16	17	10	20	15	14	18	14	16	21	15	10	5	25	26	26	24	26	23	27	19	25	16	14	28	24	22	7	16	26	35	27	25	22	21	12	26	25	15	14	19	12	16	28	17	
12	21	14	15	6	14	7	17	11	7	6	8	16	14	8	19	12	13	6	13	3	13	13	13	14	13	13	15	21	9	12	14	12	8	20	9	13	18	21	17	19	15	17	8	16	12	8	6	10	7	18	17	17	
8	9	18	10	7	7	7	12	11	6	3	16	7	9	16	11	5	20	5	7	6	15	14	16	16	14	16	12	12	15	16	10	10	16	13	7	10	15	19	8	20	16	8	17	7	14	13	6	11	7	9	17	11	
10	14	14	5	4	11	3	13	7	7	5	14	14	4	13	16	6	7	5	1	1	11	19	18	16	12	12	12	11	6	10	6	8	15	13	7	11	14	14	15	14	9	13	10	13	12	8	8	7	5	12	12	6	
