"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	
235	377	416	520	1006	438	912	261	1174	1238	1061	1294	62	236	436	78	189	646	409	340	349	991	438	495	1058	347	93	405	1223	1235	1253	
250	400	450	500	1000	450	850	250	1200	1200	1000	1200	70	250	440	70	200	600	400	340	350	1000	450	450	1100	390	90	400	1200	1200	1200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
150	257	303	264	537	239	517	167	668	713	569	696	26	119	346	36	106	358	223	236	203	534	252	306	598	203	49	260	754	708	746	
47	65	49	108	260	59	151	68	171	156	212	225	19	55	73	26	55	96	106	83	70	175	96	76	212	76	27	104	190	216	213	
53	78	98	128	203	152	182	15	361	331	219	279	25	76	21	8	39	146	71	21	77	291	102	68	290	111	14	36	256	276	241	
47	65	49	108	260	59	151	68	171	156	212	225	19	55	73	26	55	96	106	83	70	175	96	76	212	76	27	104	190	216	213	
150	257	303	264	537	239	517	167	668	713	569	696	26	119	346	36	106	358	223	236	203	534	252	306	598	203	49	260	754	708	746	
1	5	1	3	4	5	15	3	12	10	9	9	0	1	1	0	0	2	7	0	1	5	2	3	6	3	0	5	5	5	7	
196	317	351	369	793	293	653	232	827	859	772	912	45	173	418	62	161	452	322	319	272	704	346	379	804	276	76	359	939	919	952	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	2	2	2	2	4	0	5	6	7	2	0	0	2	0	1	2	4	2	2	6	2	2	4	3	0	3	7	10	2	
13	46	58	32	56	27	82	26	118	120	104	86	0	13	38	10	21	36	34	9	25	96	19	36	75	19	3	16	64	147	105	
12	21	28	24	37	17	54	23	44	52	57	75	3	9	21	3	9	31	32	13	12	38	23	20	63	21	3	26	40	50	56	
167	240	255	306	682	241	500	183	633	663	588	739	40	147	353	49	130	368	248	294	233	546	292	317	654	226	69	295	811	697	769	
1	8	5	3	3	2	3	0	7	8	4	4	2	0	3	0	0	7	1	1	0	3	2	2	3	2	1	3	7	0	7	
2	2	2	2	10	2	3	0	12	5	3	0	0	3	0	0	0	3	2	0	0	5	7	0	2	2	0	12	1	10	7	
0	0	1	0	0	1	4	0	6	2	4	3	0	0	1	0	0	5	1	0	0	3	1	1	3	0	0	3	6	4	3	
0	0	0	0	3	1	3	0	2	3	5	3	0	1	0	0	0	0	0	0	0	7	0	1	0	3	0	1	3	1	3	
