"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	
151	406	1174	274	547	707	354	534	552	329	605	1164	309	359	571	302	142	489	703	363	221	447	438	126	445	522	506	1021	1505	1253	
154	407	1216	271	564	724	370	538	557	317	613	1220	316	358	584	303	145	492	729	375	232	460	449	126	442	538	562	1052	1543	1350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
139	381	1138	241	521	638	332	493	511	294	582	1093	276	333	555	286	134	409	681	317	206	424	410	115	386	493	486	619	921	1182	
8	14	10	25	15	49	14	26	30	23	14	37	22	22	9	8	5	74	17	43	10	15	20	8	50	18	20	116	56	71	
7	12	68	5	28	37	24	19	16	0	17	90	18	3	20	9	6	9	31	15	16	21	19	3	6	27	56	317	566	97	
8	14	10	25	15	49	14	26	30	23	14	37	22	22	9	8	5	74	17	43	10	15	20	8	50	18	20	116	56	71	
139	381	1133	241	521	638	332	493	511	294	582	1093	276	333	555	286	134	409	681	317	206	424	410	115	386	493	486	619	921	1182	
0	0	5	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	2	1	2	7	24	0	
147	395	1138	266	536	687	346	519	541	317	596	1128	298	353	562	294	139	483	698	360	216	439	430	123	434	510	504	728	953	1253	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	6	0	3	1	1	0	2	2	0	8	0	1	1	0	0	2	1	0	0	1	0	0	2	2	0	4	4	1	
2	11	131	8	11	29	10	32	16	38	29	113	64	6	25	17	4	23	11	31	29	29	18	2	14	24	20	187	238	34	
5	9	38	5	10	10	7	4	13	9	6	42	10	4	8	2	4	13	23	11	10	6	3	1	4	4	4	32	44	26	
138	369	924	248	500	645	323	483	508	262	558	942	217	338	525	274	130	443	659	313	174	398	409	120	408	478	474	478	635	1179	
1	2	18	2	2	1	2	0	1	4	3	6	4	1	0	1	0	1	0	4	1	2	0	0	1	0	2	8	6	4	
0	2	8	0	4	0	0	0	0	0	0	11	2	2	1	0	0	0	1	1	2	2	0	0	2	0	2	7	9	2	
0	1	6	0	1	0	3	0	0	1	0	4	1	0	1	0	0	0	0	0	0	0	0	0	1	2	2	7	9	2	
0	1	7	3	5	1	0	0	1	1	0	2	0	1	1	0	1	1	3	0	0	1	0	0	2	0	0	5	8	5	
