"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	
2295	237	428	150	64	291	213	255	469	178	253	201	116	
2370	235	438	154	59	318	210	260	494	189	245	203	121	
0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	204	348	104	48	254	181	191	381	106	195	144	73	
77	22	58	37	11	17	20	40	66	64	46	45	37	
295	9	32	13	0	47	9	29	47	19	4	14	11	
77	22	58	37	11	17	20	40	66	64	46	45	37	
1998	204	348	104	48	254	181	191	381	106	195	144	73	
19	1	0	0	1	1	0	0	2	0	0	0	0	
2056	225	406	141	58	270	201	231	445	170	241	189	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

10	1	1	0	0	1	2	3	1	2	0	0	1	
198	8	17	3	2	16	8	13	28	9	12	4	4	
123	11	18	4	3	19	17	4	29	13	18	8	5	
1687	203	368	134	51	228	171	208	380	144	205	176	99	
12	1	2	0	1	3	3	0	2	1	1	1	0	
14	0	0	0	1	2	0	3	4	0	2	0	1	
8	1	0	0	0	1	0	0	1	1	1	0	0	
4	0	0	0	0	0	0	0	0	0	2	0	0	
