"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	
1607	1486	1461	1489	1370	
1700	1600	1600	1500	1400	
0	0	0	0	0	
1132	952	956	923	883	
44	45	139	200	156	
524	603	505	377	361	
44	45	139	200	156	
1132	952	956	923	883	
16	15	21	35	15	
1160	982	1074	1088	1024	
0	0	0	0	0	
0	0	0	0	0	

6	8	1	10	10	
180	119	72	125	135	
84	94	37	104	66	
855	728	953	825	784	
12	12	3	10	14	
8	8	4	5	6	
11	9	2	5	4	
4	4	2	4	5	
