"УИК №1956"	"УИК №1957"	"УИК №2048"	"УИК №2049"	"УИК №2050"	"УИК №2051"	"УИК №2052"	"УИК №2053"	"УИК №2054"	"УИК №2055"	"УИК №2056"	"УИК №2057"	"УИК №2058"	"УИК №2059"	"УИК №2060"	"УИК №2061"	"УИК №2062"	"УИК №2063"	"УИК №2064"	"УИК №2065"	"УИК №2066"	"УИК №2067"	"УИК №2068"	"УИК №2069"	"УИК №2070"	"УИК №2071"	"УИК №2072"	"УИК №2073"	"УИК №2074"	"УИК №2075"	"УИК №3605"	"УИК №3606"	"УИК №3908"	"УИК №3909"	"УИК №3910"	"УИК №3911"	"УИК №3912"	"УИК №3913"	"УИК №3914"	"УИК №3915"	"УИК №3916"	"УИК №3917"	"УИК №3918"	"УИК №3919"	"УИК №3920"	"УИК №3921"	"УИК №3922"	"УИК №3923"	"УИК №3924"	"УИК №3925"	"УИК №3926"	"УИК №3927"	"УИК №3928"	"УИК №3929"	"УИК №3930"	"УИК №3931"	"УИК №3932"	"УИК №3933"	"УИК №3934"	"УИК №3935"	"УИК №3936"	"УИК №3937"	"УИК №3938"	"УИК №3939"	"УИК №3940"	"УИК №3941"	"УИК №3942"	"УИК №3943"	"УИК №3944"	"УИК №3945"	"УИК №3946"	"УИК №3947"	"УИК №3948"	"УИК №3949"	"УИК №3950"	"УИК №3951"	"УИК №3952"	"УИК №3953"	"УИК №3954"	"УИК №3955"	"УИК №3956"	"УИК №3957"	"УИК №3958"	"УИК №3959"	"УИК №3960"	"УИК №3961"	"УИК №3962"	"УИК №3963"	"УИК №3964"	"УИК №3965"	"УИК №3966"	"УИК №3967"	"УИК №3968"	"УИК №3969"	"УИК №3970"	"УИК №3971"	"УИК №3972"	"УИК №3973"	"УИК №3974"	"УИК №3975"	"УИК №3976"	"УИК №3977"	"УИК №3978"	"УИК №3979"	"УИК №3980"	"УИК №3981"	"УИК №3982"	"УИК №3983"	"УИК №3984"	"УИК №3985"	"УИК №3986"	"УИК №3987"	"УИК №3988"	"УИК №3989"	"УИК №3990"	"УИК №3991"	"УИК №3992"	
662	610	1013	979	921	967	1181	1158	1201	1099	1073	1019	2140	1193	1154	971	1103	1577	1323	1197	1167	1435	1046	1041	1121	1126	990	1160	1434	1496	1630	1510	1274	1074	1715	1453	1550	1816	492	1728	1588	920	1252	1108	883	857	927	950	867	443	1038	1004	581	1833	1138	1366	1089	1093	1689	1542	1428	1354	1570	1569	1213	1028	1161	1549	1630	722	1437	1989	1224	1650	1396	1312	817	847	2127	1052	825	1402	1319	1568	969	1126	1367	1042	758	1109	1007	664	768	1147	1161	1002	1753	903	1447	1474	1136	1835	739	1256	524	1237	1399	1581	1380	1790	1628	1158	1175	1071	898	1181	1018	
662	530	900	1100	850	900	1000	1000	1000	1000	1000	900	1650	1020	900	850	850	1500	1200	1000	1000	1200	1300	800	1000	900	1000	1000	1300	1300	1500	1500	1100	850	1500	1300	1200	1750	450	1500	1500	850	1400	1000	800	800	800	850	800	450	950	900	500	1700	1000	1000	900	1000	1400	1300	1200	1200	1300	1300	1150	1000	1000	1400	1500	600	1300	1700	1000	1400	1250	1100	700	700	1900	1000	800	1200	1100	1400	900	1100	1200	1300	700	1000	900	600	700	1000	1000	900	1400	800	1200	1300	1000	1500	600	1100	500	1000	1200	1500	1200	1500	1500	1000	1100	1000	750	1000	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
367	481	608	582	589	591	656	607	843	757	655	685	1519	791	757	648	709	980	796	629	634	805	493	577	828	687	681	769	987	973	1103	861	660	546	1079	891	1051	1639	425	1028	1100	572	1000	711	530	477	498	560	508	240	624	616	426	1009	662	858	645	626	873	893	789	677	896	897	987	845	732	881	1058	368	868	1172	656	965	1002	898	585	613	1409	801	616	846	786	949	423	747	875	941	615	745	626	415	383	663	675	593	1149	548	796	890	687	1125	417	906	394	927	1088	1033	963	1341	1099	688	843	768	661	875	813	
295	0	16	10	62	11	32	63	31	64	50	80	13	11	6	21	12	12	26	17	10	32	550	34	48	49	50	52	44	67	237	210	45	20	9	2	13	1	20	39	8	15	1	24	18	7	119	8	6	76	36	14	18	10	100	6	60	70	35	4	5	53	26	55	70	60	101	108	313	23	51	34	32	35	30	42	8	41	82	74	50	106	103	61	60	153	37	101	16	38	111	38	50	34	16	13	24	12	111	21	21	23	52	15	29	38	9	78	76	91	42	137	74	49	12	19	15	
0	49	276	508	199	298	312	330	126	179	295	135	118	218	137	181	129	508	378	354	356	363	257	189	124	164	269	179	269	260	160	429	395	284	412	407	136	110	5	433	392	263	399	265	252	316	183	282	286	134	290	270	56	681	238	136	195	304	492	403	406	470	378	348	93	95	167	411	129	209	382	494	312	400	218	160	107	46	409	125	134	248	211	390	417	200	288	258	69	217	163	147	267	303	309	294	227	240	293	389	292	352	131	179	77	35	103	389	161	68	359	175	183	183	77	106	72	
295	0	16	10	62	11	32	63	31	64	50	80	13	11	6	21	12	12	26	17	10	32	550	34	48	49	50	52	44	67	237	210	45	20	9	2	13	1	20	39	8	15	1	24	18	7	119	8	6	76	36	14	18	10	100	6	60	70	35	4	5	53	26	55	70	60	101	108	313	23	51	34	31	35	30	42	8	41	82	74	50	106	103	61	60	153	37	101	16	38	111	38	50	34	16	13	24	12	111	21	21	23	52	15	29	38	9	78	76	91	42	137	74	49	12	19	15	
367	481	608	582	589	583	656	607	843	757	655	685	1519	791	756	648	708	980	796	629	634	805	493	577	828	687	678	769	987	973	1103	861	660	546	1078	891	1051	1639	425	1028	1100	568	949	711	530	477	498	560	508	240	624	616	426	1009	662	858	645	626	868	893	789	677	896	894	985	845	732	881	1058	368	868	1172	655	965	1002	898	585	613	1409	801	616	846	786	946	423	747	875	941	615	745	626	414	383	663	675	593	1149	548	796	890	687	1125	417	906	394	927	1088	1033	963	1341	1099	688	843	768	659	875	813	
0	3	5	8	5	12	5	6	7	10	11	9	47	12	8	8	6	11	15	13	8	6	13	6	11	9	14	11	7	10	13	12	8	2	10	22	19	11	0	19	16	37	10	8	8	8	5	6	7	0	11	10	3	11	7	7	9	11	19	13	3	17	11	8	36	8	12	12	18	10	3	8	5	11	22	10	2	5	26	9	8	9	10	15	11	16	24	14	3	13	19	8	0	8	4	9	26	7	11	7	7	31	5	9	2	6	10	13	14	20	15	6	4	8	6	8	8	
662	478	619	584	646	582	683	664	867	811	694	756	1485	790	754	661	714	981	807	633	636	831	1030	605	865	727	714	810	1024	1030	1327	1059	697	564	1077	871	1045	1629	445	1048	1092	546	940	727	540	476	612	562	507	316	649	620	441	1008	755	857	696	685	884	884	791	713	911	941	1019	897	821	977	1353	381	916	1198	681	989	1010	930	591	649	1465	866	658	943	879	992	472	884	888	1028	628	770	718	444	433	689	687	597	1147	553	896	904	701	1117	464	912	421	959	1087	1098	1025	1412	1126	819	913	809	665	886	820	
