"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	"УИК №1188"	"УИК №1189"	"УИК №1190"	"УИК №1191"	"УИК №1192"	"УИК №1193"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	"УИК №1198"	"УИК №1199"	"УИК №1200"	"УИК №1201"	
207	639	1178	339	1145	1064	91	89	85	1127	365	533	487	413	30	288	339	319	1699	1453	1834	
250	700	1200	350	1200	1150	100	100	100	1200	400	560	510	450	30	300	350	350	1850	1650	1900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101	334	1030	330	966	1017	91	89	85	567	233	517	454	406	25	138	296	247	1141	1438	1741	
9	10	140	0	122	26	0	0	0	145	20	0	25	7	3	10	11	41	33	15	93	
140	356	30	20	112	107	9	11	15	488	147	43	31	37	2	152	43	62	676	197	66	
9	10	140	0	122	26	0	0	0	145	20	0	25	7	3	10	11	41	33	15	93	
101	334	1030	330	966	1017	91	89	85	567	233	517	454	406	25	138	296	247	1001	1438	1741	
0	2	0	0	3	0	0	0	0	29	0	0	0	0	0	1	5	1	6	0	0	
110	342	1170	330	1085	1043	91	89	85	683	253	517	479	413	28	147	302	287	1028	1453	1834	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	4	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	1	
29	65	35	2	113	31	5	3	3	195	56	5	136	38	1	18	35	20	266	200	394	
1	8	0	1	1	0	0	0	0	2	3	0	0	0	0	1	0	0	1	0	3	
76	265	1135	322	969	1012	86	86	82	481	189	512	343	375	27	125	267	264	749	1252	1426	
2	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	2	7	1	6	
0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	3	0	1	2	0	1	
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
