"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	
2256	2700	2858	2066	700	1044	
2181	2633	2752	2034	714	1036	
0	0	0	0	0	0	
2107	2575	2664	1857	676	954	
62	41	75	142	11	68	
12	17	13	35	27	14	
62	41	75	142	11	68	
2107	2575	2664	1857	676	954	
3	22	5	21	3	3	
2166	2594	2734	1978	684	1019	
0	0	0	0	0	0	
0	0	0	0	0	0	

0	15	1	5	2	1	
137	86	62	288	44	38	
32	65	13	12	6	21	
1977	2389	2645	1642	624	952	
14	13	6	21	6	2	
0	5	3	6	0	2	
1	6	4	2	0	2	
5	15	0	2	2	1	
