"УИК №2266"	"УИК №2267"	"УИК №2268"	"УИК №2269"	"УИК №2270"	"УИК №2271"	"УИК №2272"	"УИК №2273"	"УИК №2274"	"УИК №2275"	"УИК №2276"	"УИК №2277"	"УИК №2278"	"УИК №2279"	"УИК №2280"	"УИК №2281"	"УИК №2282"	"УИК №2283"	"УИК №2284"	"УИК №2285"	"УИК №2286"	"УИК №2287"	"УИК №2288"	"УИК №2289"	"УИК №2290"	"УИК №2291"	
2057	2153	1985	1709	1998	2183	2113	2175	2040	2227	2086	1876	2542	1774	1966	1521	1680	2195	2077	2152	2617	2311	2177	520	1440	2136	
1500	1600	1400	1100	1500	1500	1600	1700	1600	1700	1500	1300	1900	1300	1500	1100	1100	1600	1600	1500	1900	1700	1700	450	1100	1600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1188	1207	1154	984	1047	1249	1141	1098	1114	1176	1132	996	1350	988	1003	888	925	1214	1110	1274	1458	1347	1273	294	841	1264	
60	31	26	36	70	65	52	59	42	46	42	64	38	37	62	58	46	37	56	38	22	31	48	18	12	36	
252	362	220	80	383	186	407	543	444	478	326	240	512	275	435	154	129	349	434	188	420	322	379	138	247	300	
60	31	26	36	70	65	52	59	42	46	42	63	38	37	62	57	46	37	55	38	22	31	48	18	12	36	
1186	1207	1153	980	1045	1245	1138	1097	1113	1176	1131	993	1348	988	1002	884	924	1211	1109	1273	1455	1344	1270	294	841	1255	
14	46	26	12	16	51	12	12	10	11	22	49	18	7	16	11	16	21	21	13	14	20	15	4	7	36	
1232	1192	1153	1004	1099	1259	1178	1144	1145	1211	1151	1007	1368	1018	1048	930	954	1227	1143	1298	1463	1355	1303	308	846	1255	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	8	12	4	8	17	23	13	10	9	18	13	12	10	8	18	5	18	10	14	14	17	29	1	5	16	
169	170	146	153	142	187	158	173	166	199	160	134	182	120	143	136	101	152	150	152	184	166	297	49	100	178	
37	36	48	31	34	35	29	45	36	41	38	43	34	37	44	30	31	36	53	45	41	40	28	5	34	39	
805	761	709	692	700	803	808	726	735	795	732	646	928	699	739	570	645	836	761	910	981	940	825	206	583	853	
70	92	101	61	114	105	57	85	79	76	80	86	110	73	43	82	91	71	82	85	101	81	38	20	50	67	
6	8	12	7	5	5	4	6	8	5	11	6	11	6	16	5	5	9	11	12	9	11	12	2	10	13	
32	30	36	20	35	30	31	33	25	22	30	24	18	21	10	25	24	35	18	20	42	28	22	5	23	36	
99	87	89	36	61	77	68	63	86	64	82	55	73	52	45	64	52	70	58	60	91	72	52	20	41	53	
