"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1332"	"УИК №1333"	"УИК №1334"	"УИК №1335"	"УИК №1336"	"УИК №1337"	"УИК №1338"	"УИК №1339"	"УИК №1340"	"УИК №1341"	"УИК №1380"	
396	157	337	83	115	173	691	170	1016	421	548	1011	641	822	400	889	453	552	508	455	257	410	865	299	90	79	283	81	162	292	84	533	892	379	565	348	380	397	944	121	
350	140	320	70	100	160	670	150	1000	400	550	1000	600	800	400	850	400	500	500	400	230	380	800	280	70	70	260	70	150	280	80	500	900	350	500	320	350	350	800	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	
170	81	143	45	62	69	323	100	521	264	282	557	348	491	256	531	241	297	242	204	123	201	464	153	31	44	152	45	93	165	44	283	544	215	352	209	191	223	519	115	
7	3	15	4	2	6	14	12	25	13	13	21	24	21	12	23	21	9	9	20	7	24	42	29	4	5	11	8	15	19	7	19	17	9	9	8	13	13	24	0	
173	56	162	21	36	85	333	38	454	123	255	422	228	288	132	296	138	194	249	176	100	155	294	98	19	21	97	17	42	87	29	198	339	126	139	103	146	114	257	385	
7	3	15	4	2	6	14	12	25	13	13	21	24	21	12	23	21	9	9	20	7	24	42	29	20	5	11	8	15	28	7	19	17	9	9	8	13	13	24	0	
170	81	143	45	62	69	323	100	521	264	282	554	348	491	256	531	241	297	242	204	123	201	464	153	31	44	152	45	93	165	44	283	544	215	352	209	191	223	519	115	
3	2	2	0	4	0	4	2	12	3	0	6	7	8	7	6	6	1	6	9	7	3	14	0	0	0	3	2	3	2	1	9	8	4	8	2	3	17	8	0	
174	82	156	49	60	75	333	110	534	274	295	569	365	504	261	548	256	305	245	215	123	222	492	182	51	49	160	51	105	191	50	293	553	220	353	215	201	219	535	115	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	3	0	0	0	4	0	5	2	2	4	5	3	0	5	7	1	2	2	1	2	1	0	0	0	0	1	1	0	0	0	4	1	4	5	2	3	3	1	
22	10	23	7	4	15	76	17	129	73	85	149	130	144	65	150	69	84	69	26	9	53	118	20	11	4	24	5	21	23	10	71	148	74	108	76	39	68	116	24	
10	9	19	6	7	7	51	10	51	23	32	51	32	36	26	42	29	28	28	23	9	21	47	12	4	5	11	5	11	15	8	29	35	18	21	13	18	16	43	7	
138	63	106	35	48	52	191	82	329	170	169	343	192	290	157	336	144	178	142	158	103	142	314	149	34	39	120	39	69	147	26	188	352	121	206	117	125	126	360	79	
0	0	0	0	1	0	1	1	7	4	0	11	3	10	4	4	4	4	3	0	0	2	2	0	0	0	2	0	2	3	5	2	7	5	5	1	2	1	5	2	
1	0	2	0	0	1	2	0	5	2	4	5	0	8	5	5	1	2	1	1	1	2	4	0	0	1	0	1	0	2	1	1	1	0	3	0	3	1	3	1	
2	0	2	1	0	0	4	0	5	0	3	5	1	6	3	3	1	2	0	1	0	0	5	0	1	0	0	0	0	0	0	1	5	1	1	2	7	2	2	0	
0	0	1	0	0	0	4	0	3	0	0	1	2	7	1	3	1	6	0	4	0	0	1	1	1	0	3	0	1	1	0	1	1	0	5	1	5	2	3	1	
