"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №2283"	"УИК №2284"	"УИК №2285"	
1720	1246	1577	1857	2085	1917	2018	1979	2326	2507	2082	1930	1857	1986	2165	2066	1687	1753	2125	2016	1980	2345	2628	2142	2356	2347	2152	1857	2341	2427	2390	2498	2000	1441	1460	1649	2436	1824	1887	1739	1720	1536	1589	2032	2150	1802	1784	2248	1503	1920	1959	2315	1507	2545	2810	1797	2050	2047	1192	1005	2028	2676	1603	265	526	992	
2000	1200	1500	2000	2000	2000	2000	2000	2000	2500	2000	2000	2000	2000	2000	1500	1500	2000	2000	2000	2000	2500	2500	2000	2000	2000	2000	1500	2000	2500	2000	2000	2000	1500	1500	2000	2500	2000	2000	1500	1500	1500	1500	2000	2000	2000	2000	2000	1500	2000	2000	2500	1500	2500	2000	2000	2000	2000	1300	1000	2000	3000	1500	500	500	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1137	837	953	1479	1455	1191	1223	1373	1437	1625	1441	1310	1362	1360	1375	1179	1097	1262	1423	1709	1218	1511	1681	1563	1385	1832	1253	1164	1376	1522	1448	1554	1384	973	847	1130	1948	1293	1152	1105	998	1080	1066	1474	1474	1306	1209	1383	1028	1579	1859	1674	1076	1797	1526	1228	1421	1210	948	871	1593	2617	1261	187	500	950	
9	49	98	153	24	32	20	23	31	46	32	34	26	30	62	30	37	27	47	196	40	59	29	36	27	37	20	22	23	32	46	46	100	79	31	9	43	37	35	28	59	31	46	32	27	43	40	36	17	27	31	30	19	12	48	44	73	32	22	5	10	0	5	35	0	0	
854	314	449	368	521	777	757	604	532	829	527	656	609	610	563	291	366	711	530	95	742	930	790	401	588	131	727	314	601	946	506	400	516	448	622	861	509	670	813	367	443	354	388	494	499	651	751	581	455	394	110	796	405	691	425	726	506	758	330	124	380	383	234	278	0	50	
9	49	98	152	24	32	20	23	31	46	32	34	26	30	62	30	37	27	47	196	40	59	29	36	27	37	20	22	23	32	46	46	100	79	31	9	43	37	35	28	59	31	46	32	27	43	40	36	17	27	27	30	19	12	48	44	73	32	22	5	10	0	5	35	0	0	
1137	828	953	1479	1452	1188	1221	1373	1437	1623	1438	1310	1362	1360	1375	1172	1093	1260	1423	1709	1216	1506	1681	1527	1383	1828	1241	1162	1372	1522	1448	1551	1377	972	847	1119	1948	1250	1146	1105	990	1080	1066	1474	1474	1306	1209	1347	1028	1552	1851	1674	1076	1797	1522	1228	1376	1210	883	870	1593	2617	1261	187	500	950	
12	8	6	35	16	13	19	14	13	22	16	14	12	14	18	11	12	13	7	3	16	21	33	21	24	20	20	17	8	19	20	23	16	10	8	14	28	18	9	12	8	16	19	19	10	28	9	20	8	32	21	25	23	20	21	14	17	21	16	14	17	23	11	4	8	97	
1134	869	1045	1596	1460	1207	1222	1382	1455	1647	1454	1330	1376	1376	1419	1191	1118	1274	1463	1902	1240	1544	1677	1542	1386	1845	1241	1167	1387	1535	1474	1574	1461	1041	870	1114	1963	1269	1172	1121	1041	1095	1093	1487	1491	1321	1240	1363	1037	1547	1857	1679	1072	1789	1549	1258	1432	1221	889	861	1586	2594	1255	218	492	853	
0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	17	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	6	7	10	11	9	16	14	13	14	16	5	11	17	11	8	11	13	15	11	14	12	26	15	9	12	12	13	12	15	14	17	10	11	13	6	19	7	6	10	9	9	12	14	14	30	18	22	9	11	20	14	8	16	23	8	25	8	4	9	12	7	13	3	4	11	
122	95	94	157	110	99	89	143	134	149	142	131	97	152	112	108	101	124	126	112	115	145	128	35	116	143	124	85	167	129	144	149	117	85	90	126	220	90	102	99	100	83	107	111	123	109	83	104	96	126	152	146	82	188	149	123	139	120	79	96	211	143	126	31	23	32	
42	31	43	92	63	38	53	53	52	75	52	58	42	61	54	45	28	62	58	23	58	79	89	44	63	65	50	69	47	94	67	90	47	36	38	30	113	47	46	42	58	41	54	44	56	58	37	39	33	46	49	45	40	53	60	36	36	51	34	22	34	75	31	9	25	93	
820	640	805	1200	1119	910	957	1039	1115	1258	1126	1018	1135	1019	1135	911	869	954	1101	1683	954	1172	1305	1322	1066	1500	956	917	975	1090	1128	1170	1160	810	634	811	1444	1008	881	876	786	855	823	1154	1127	967	973	1028	803	1190	1396	1263	834	1306	1109	921	1046	884	664	599	1054	2313	926	165	402	627	
64	46	47	64	69	71	47	67	58	73	49	57	32	55	46	48	48	56	79	22	39	64	43	51	58	57	33	36	84	94	51	62	50	42	34	84	99	44	56	32	28	50	49	67	61	67	48	78	37	71	103	60	46	101	88	73	86	75	65	75	157	33	77	4	19	64	
7	6	7	16	12	5	9	0	10	10	13	9	9	14	9	10	1	12	16	7	10	15	6	9	16	12	15	5	7	7	10	12	16	8	6	7	10	8	9	11	8	10	4	14	11	25	9	13	9	11	10	12	11	9	12	11	11	6	3	5	7	3	6	1	1	4	
23	18	17	24	25	26	17	17	22	28	18	17	14	28	13	20	18	16	19	3	19	21	24	16	20	19	15	15	28	23	19	15	20	12	19	21	18	20	26	12	17	16	13	28	33	22	17	24	13	25	35	25	21	35	25	24	29	13	14	16	49	8	33	3	9	8	
47	27	25	33	51	49	34	49	51	40	38	35	36	30	39	41	42	37	49	41	31	36	56	50	38	37	36	27	67	83	41	59	41	37	36	29	40	45	46	39	35	31	31	55	66	43	55	55	37	67	92	114	30	81	83	62	60	64	26	39	62	12	43	2	9	14	
