"УИК №1626"	"УИК №1627"	"УИК №1628"	"УИК №1629"	"УИК №1630"	"УИК №1631"	"УИК №1632"	"УИК №1633"	"УИК №1634"	"УИК №1635"	"УИК №1636"	"УИК №1637"	"УИК №1638"	"УИК №1639"	"УИК №1640"	"УИК №1641"	"УИК №1642"	"УИК №1643"	"УИК №1644"	"УИК №1645"	"УИК №1646"	"УИК №1647"	"УИК №1648"	"УИК №1649"	"УИК №1650"	"УИК №1651"	"УИК №1652"	"УИК №1653"	"УИК №1654"	"УИК №1655"	"УИК №1656"	"УИК №1657"	"УИК №1658"	"УИК №1659"	"УИК №1660"	"УИК №1661"	"УИК №3462"	
320	267	239	312	236	281	517	193	201	252	275	41	339	254	172	69	298	168	78	428	251	40	174	94	355	204	437	597	626	403	268	379	787	220	753	301	365	
340	294	272	337	284	300	560	214	230	282	312	41	358	288	218	67	330	205	88	495	289	50	194	95	376	243	450	622	621	401	315	410	925	242	864	335	383	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
238	198	207	270	183	232	418	154	174	229	228	36	274	209	149	64	248	143	57	352	219	33	151	90	253	175	307	462	473	345	248	341	627	210	563	236	298	
14	19	9	14	23	10	25	16	4	17	4	0	17	23	5	2	17	3	8	29	12	1	6	0	11	9	25	27	10	4	9	24	25	8	35	16	20	
88	77	56	53	78	58	117	44	52	36	80	5	67	56	64	1	65	59	23	114	58	16	37	5	112	59	118	133	138	52	58	45	273	24	266	83	65	
14	19	9	14	23	10	25	16	4	17	4	0	17	23	5	2	17	3	8	29	12	1	6	0	11	9	25	27	10	4	9	24	25	8	35	16	20	
238	198	207	270	183	232	418	154	174	229	228	36	274	209	149	64	248	143	57	352	219	33	151	90	253	175	306	462	473	345	248	341	627	210	563	236	298	
5	0	2	1	2	2	5	1	2	1	3	0	0	0	1	0	4	0	0	6	2	0	1	0	4	1	1	8	5	5	3	5	14	0	7	2	4	
247	217	214	283	204	240	438	169	176	245	229	36	291	232	153	66	261	146	65	375	229	34	156	90	260	183	330	481	478	344	254	360	638	218	591	250	314	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	1	0	0	1	5	2	1	1	1	0	0	1	1	0	2	0	0	0	0	1	0	1	4	3	1	1	2	2	2	3	2	0	0	4	2	
40	33	23	20	17	26	86	32	31	11	68	3	28	14	35	4	49	29	14	109	20	17	42	10	55	26	121	95	113	78	46	30	180	19	154	46	76	
17	11	29	3	3	8	10	2	9	1	6	6	6	6	8	1	16	4	2	20	3	1	8	3	17	14	9	21	31	15	15	6	23	3	20	9	14	
177	165	152	254	174	199	319	131	129	231	150	23	253	204	102	60	181	107	47	226	197	15	101	74	181	136	193	339	316	240	181	312	405	196	394	168	215	
4	5	2	2	4	3	9	1	3	1	2	4	2	3	5	1	5	0	1	9	2	0	5	1	2	2	1	13	13	3	4	4	12	0	11	11	2	
3	1	5	0	3	1	6	0	0	0	1	0	2	0	1	0	6	3	0	8	4	0	0	0	0	0	1	9	1	3	2	3	4	0	5	9	2	
2	1	2	2	2	0	1	0	2	0	1	0	0	1	1	0	2	2	0	2	2	0	0	0	1	1	3	0	1	3	3	2	5	0	5	2	2	
2	1	0	2	1	2	2	1	1	0	0	0	0	3	0	0	0	1	1	1	1	0	0	1	0	1	1	3	1	0	1	0	7	0	2	1	1	
