"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	
1511	632	194	513	257	90	76	557	250	172	1318	277	110	438	147	415	517	235	435	331	221	238	376	85	
1251	540	163	424	203	69	61	444	210	136	1069	227	90	360	123	342	423	197	356	276	182	225	323	65	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
953	426	117	223	160	49	42	274	145	112	671	182	68	157	72	212	240	101	298	221	134	192	252	52	
84	50	35	161	42	15	13	155	28	19	197	45	22	108	51	111	77	65	37	55	40	25	54	12	
214	64	11	40	1	5	6	15	37	5	201	0	0	95	0	19	106	31	21	0	8	8	17	1	
84	50	35	161	42	15	13	155	28	19	197	45	22	108	51	111	77	65	37	55	40	25	54	12	
953	426	117	223	160	49	42	274	145	112	671	182	68	157	72	212	240	101	298	221	134	192	252	52	
7	7	0	0	2	1	0	4	0	3	4	1	0	2	0	4	5	0	8	2	2	2	4	0	
1030	469	152	384	200	63	55	425	173	128	864	226	90	263	123	319	312	166	327	274	172	215	302	64	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	0	1	1	0	0	1	0	1	7	3	0	3	3	1	1	0	2	1	2	0	0	0	
91	34	7	24	4	3	3	16	17	7	63	9	0	18	2	20	19	7	13	12	12	8	8	3	
56	43	4	13	9	4	5	27	9	6	46	8	10	13	2	7	11	5	24	15	5	11	8	5	
868	384	141	338	185	56	47	375	142	111	739	201	78	227	114	284	275	152	283	241	150	196	281	56	
5	1	0	5	0	0	0	3	1	1	2	3	1	2	0	5	2	1	2	1	1	0	3	0	
3	3	0	1	1	0	0	0	2	2	5	0	1	0	2	1	3	1	1	2	2	0	1	0	
2	2	0	2	0	0	0	3	1	0	1	0	0	0	0	1	1	0	2	2	0	0	1	0	
2	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
