"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №1196"	
2030	2257	2193	1693	1972	2027	1826	1624	1390	973	1831	1914	2088	1934	1858	1754	1863	1811	1983	2079	1922	158	
2000	2100	2200	1700	2000	2000	1800	1500	1400	900	1800	1800	2000	1800	1800	1800	1800	1800	2000	2000	1800	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1172	1123	1048	906	1072	1047	991	895	613	519	1024	995	1172	1090	909	1001	1058	1096	1143	1175	1059	83	
28	66	32	33	26	16	32	16	28	9	19	8	18	14	26	23	25	17	30	22	25	66	
800	911	1120	761	902	937	777	589	759	372	757	797	810	696	865	776	717	687	827	803	716	1	
28	66	32	33	26	16	32	16	28	9	19	8	18	14	26	23	25	17	30	22	25	66	
1172	1123	1048	905	1071	1047	991	893	613	519	1023	994	1170	1089	907	1001	1058	1096	1142	1172	1059	83	
18	12	15	12	12	9	9	4	4	8	16	23	12	10	11	4	19	12	13	17	24	1	
1182	1177	1065	926	1085	1054	1014	905	637	520	1026	979	1176	1093	922	1020	1064	1101	1159	1177	1060	148	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	9	10	11	9	6	9	5	3	0	10	7	12	8	11	11	15	16	5	9	5	3	
148	188	150	128	162	159	158	130	101	80	173	133	170	143	108	149	148	154	150	156	162	7	
88	76	73	72	51	68	50	37	47	39	55	56	63	73	47	59	58	58	75	92	59	7	
900	863	797	686	821	792	761	697	459	378	754	756	878	830	709	750	807	821	885	888	799	123	
15	17	14	7	11	11	13	15	7	7	16	10	20	16	21	19	17	20	21	11	12	3	
4	7	8	6	9	4	3	5	7	5	4	3	14	5	10	7	5	12	6	4	10	2	
9	7	6	7	14	9	5	8	5	5	7	7	13	14	10	11	4	11	6	10	7	3	
7	10	7	9	8	5	15	8	8	6	7	7	6	4	6	14	10	9	11	7	6	0	
