"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	
536	62	497	1803	1525	1874	428	443	348	224	489	71	62	279	71	242	461	106	438	138	496	80	311	
589	71	525	1828	1537	1793	437	464	366	216	530	68	64	320	61	275	480	103	447	144	554	83	320	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
300	52	360	1158	940	1102	302	303	271	174	350	59	51	189	52	164	290	70	330	106	259	51	241	
73	3	38	81	74	115	45	61	28	15	50	5	2	25	3	31	81	11	43	10	57	13	36	
216	16	127	589	523	576	90	100	67	27	130	4	11	106	6	80	109	22	74	28	238	19	43	
73	3	38	81	74	115	45	61	28	15	50	5	2	25	3	31	81	11	43	10	57	13	36	
300	52	360	1158	940	1102	302	303	271	174	350	59	51	189	52	164	290	70	330	106	259	51	241	
3	1	6	16	9	16	2	4	1	2	6	1	0	2	0	0	2	0	2	0	1	0	4	
370	54	392	1223	1005	1201	345	360	298	187	394	63	53	212	55	195	369	81	371	116	315	64	273	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	4	2	10	9	0	2	1	2	2	0	0	0	0	2	1	1	1	0	3	0	1	
44	1	48	257	199	228	47	31	17	29	62	3	3	27	1	31	63	7	27	7	28	1	47	
26	1	18	82	96	100	34	31	20	16	50	13	4	21	12	10	16	4	23	6	23	1	9	
289	51	315	844	680	836	255	287	257	136	272	46	45	154	39	147	286	66	310	98	246	60	214	
3	0	2	11	4	5	3	7	3	1	2	0	0	3	2	1	2	2	3	0	6	1	0	
5	1	3	17	5	12	2	1	0	2	2	0	1	6	0	3	1	1	4	3	8	1	1	
1	0	0	7	7	10	3	1	0	1	2	1	0	1	1	0	0	0	1	1	1	0	1	
1	0	2	3	4	1	1	0	0	0	2	0	0	0	0	1	0	0	2	1	0	0	0	
