"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №2266"	"УИК №2267"	"УИК №2334"	
525	470	687	691	1548	1947	715	293	257	561	309	318	327	228	738	
400	350	500	550	1150	1600	550	250	210	450	250	250	250	200	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
270	245	421	484	1032	1277	441	128	171	342	176	189	184	75	490	
40	25	37	21	68	85	36	23	30	37	14	26	26	50	13	
90	80	42	45	50	238	73	99	9	71	60	35	40	75	97	
40	25	37	21	68	85	36	23	30	37	14	26	26	50	13	
270	245	421	484	1032	1277	441	128	171	342	176	189	184	75	490	
6	3	3	5	17	30	8	3	3	4	4	2	1	0	8	
304	267	455	500	1083	1332	469	148	198	375	186	213	209	125	495	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	3	6	4	12	13	0	0	1	0	0	4	3	0	3	
34	21	52	57	126	148	42	14	14	32	18	11	8	13	43	
41	45	50	57	107	130	58	19	23	48	25	22	32	12	53	
215	192	337	357	811	999	358	104	155	289	138	175	163	98	378	
3	3	4	10	10	18	5	5	2	4	1	1	2	1	8	
2	2	1	4	10	9	4	2	2	0	2	0	1	1	3	
2	1	2	7	3	7	1	2	0	1	1	0	0	0	3	
2	0	3	4	4	8	1	2	1	1	1	0	0	0	4	
