"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	
725	745	810	641	201	164	162	167	274	176	123	241	215	
730	750	820	640	190	125	165	160	260	175	125	235	215	
0	0	0	0	0	0	0	0	0	0	0	0	0	
362	389	419	312	89	67	78	61	99	73	73	84	108	
27	31	51	54	26	17	28	31	61	24	9	38	21	
341	330	350	274	75	41	59	68	100	78	43	113	86	
27	31	51	54	26	17	28	31	61	24	9	38	21	
362	389	419	312	89	67	78	61	99	73	73	84	108	
5	5	7	4	2	0	0	0	1	0	0	1	0	
384	415	463	362	113	84	106	92	159	97	82	121	129	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	4	1	1	1	0	0	0	1	0	2	1	
59	46	72	53	23	17	10	0	11	11	3	4	5	
48	43	67	18	14	6	14	12	23	14	15	19	17	
258	305	307	271	70	58	77	80	123	69	61	92	104	
5	13	6	8	2	1	4	0	0	1	0	3	1	
5	2	2	5	1	1	0	0	2	0	2	1	0	
2	3	0	1	1	0	1	0	0	0	0	0	0	
4	2	5	5	1	0	0	0	0	1	1	0	1	
