"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	
186	209	1144	369	1085	1242	364	354	1532	1882	1573	1597	1224	701	1173	1335	832	929	832	581	501	129	1046	1173	692	322	419	447	
188	217	1146	408	1171	1243	364	346	1494	1851	1541	1602	1207	644	1197	1397	859	995	818	586	499	129	986	1187	703	315	426	407	
0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	
144	172	890	312	763	857	262	248	1060	1262	1136	1112	865	530	844	942	546	641	639	424	377	114	691	860	542	215	297	369	
10	10	39	20	69	83	28	16	47	45	23	29	45	15	55	49	44	36	28	22	24	4	28	57	21	11	22	18	
34	35	217	76	339	276	74	82	387	544	382	461	297	99	298	406	269	318	151	140	98	11	267	270	140	89	99	20	
10	10	39	20	69	110	28	16	47	45	23	29	45	15	55	49	44	36	28	22	24	4	28	57	21	11	30	18	
144	172	890	312	763	857	262	248	1060	1262	1136	1112	865	530	844	942	546	641	639	424	377	114	691	860	542	215	297	368	
2	5	18	3	12	15	7	2	25	16	19	11	5	6	20	15	7	14	5	5	1	6	8	21	1	5	5	8	
152	177	911	329	820	952	283	262	1082	1291	1140	1130	905	539	879	976	583	663	662	441	400	112	711	896	562	221	322	378	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	9	2	4	1	3	0	3	8	11	9	6	3	5	3	5	8	3	2	0	0	3	10	2	1	3	1	
9	11	91	19	139	166	21	28	146	160	130	143	140	76	175	225	59	79	95	52	39	12	101	70	43	22	27	39	
20	34	106	37	76	96	39	62	141	171	157	145	86	74	113	132	65	79	100	68	55	14	63	106	64	25	33	44	
122	124	685	262	582	670	212	169	766	907	820	791	639	370	560	590	442	489	454	311	298	85	535	690	442	171	252	289	
0	1	8	4	6	5	1	1	9	21	6	21	13	5	10	5	5	1	4	3	2	1	5	9	4	0	3	2	
0	2	4	4	5	6	3	1	4	6	9	5	6	6	5	9	0	2	3	0	0	0	3	6	6	0	1	1	
1	2	3	1	3	4	4	1	6	11	4	10	11	2	4	9	5	4	0	2	2	0	0	3	1	2	3	0	
0	2	5	0	5	4	0	0	7	7	3	6	4	3	7	3	2	1	3	3	4	0	1	2	0	0	0	2	
