"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	"УИК №1234"	"УИК №1235"	"УИК №1236"	"УИК №1237"	"УИК №1238"	"УИК №1239"	"УИК №1240"	"УИК №1241"	"УИК №1242"	"УИК №1243"	"УИК №1244"	"УИК №1245"	"УИК №1246"	"УИК №1247"	"УИК №1248"	"УИК №1249"	"УИК №1250"	"УИК №1251"	
1324	1268	1293	964	595	652	957	1302	659	555	744	1250	1336	643	684	219	342	1166	1181	1302	647	313	203	111	417	553	174	1107	1619	558	1188	120	589	445	180	207	205	249	486	249	250	552	204	126	386	584	736	846	321	732	
1326	1328	1333	1009	625	667	867	1356	657	579	778	1323	1374	665	719	218	343	1221	1246	1374	674	299	207	116	416	547	174	1205	1720	577	1284	124	607	450	179	209	207	224	492	249	240	575	189	117	380	613	766	791	330	741	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
714	679	751	451	318	396	474	624	305	244	371	724	647	390	292	154	121	524	481	588	360	108	108	61	230	227	115	519	682	352	592	66	435	237	123	106	63	134	280	128	134	259	119	69	185	340	367	410	158	352	
93	69	82	64	39	10	137	91	46	37	60	83	111	31	95	15	83	86	135	28	42	69	32	13	85	26	22	258	206	39	71	24	56	35	26	27	66	60	21	10	11	66	37	14	59	57	71	277	41	87	
519	580	500	494	268	261	256	641	306	298	347	516	616	244	332	49	139	611	630	758	272	122	67	42	101	294	37	428	832	186	621	34	116	178	30	76	78	30	191	111	95	250	33	34	136	216	328	104	131	302	
93	69	82	64	39	10	137	91	46	37	60	83	111	31	95	15	83	86	135	28	42	69	32	13	85	26	22	258	206	39	71	24	56	35	26	27	66	60	21	10	11	66	37	14	59	57	71	277	41	87	
714	678	751	451	318	396	474	624	305	244	371	724	647	390	292	154	121	524	481	588	360	108	108	61	230	227	115	519	682	352	592	66	435	237	123	106	63	134	280	128	134	259	119	69	185	340	367	410	158	352	
8	11	8	4	6	2	7	4	3	3	2	6	15	0	1	0	0	7	7	4	15	2	1	0	0	0	1	7	10	4	11	0	5	1	0	4	1	0	2	1	2	0	2	0	2	4	5	4	1	5	
799	736	825	511	351	404	604	711	348	278	429	801	743	421	386	169	204	603	609	612	387	175	139	74	315	253	136	770	878	387	652	90	486	271	149	129	128	194	299	137	143	325	154	83	242	393	433	683	198	434	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	3	1	2	2	0	5	4	0	2	2	3	4	0	5	1	1	5	3	0	2	0	0	1	1	1	0	4	2	5	5	1	0	1	0	1	0	5	0	0	0	3	0	2	0	1	1	2	0	3	
131	116	131	84	63	77	114	134	52	25	79	114	125	71	54	25	28	81	96	140	46	42	16	17	47	39	22	128	175	59	147	11	32	37	9	26	13	20	33	19	13	29	20	8	22	59	39	55	31	63	
55	42	62	48	26	25	55	49	20	32	31	40	44	14	19	8	11	34	39	48	20	6	3	4	13	24	3	30	28	24	19	5	8	20	13	12	3	20	15	13	12	24	6	8	13	17	27	35	13	39	
588	556	607	367	253	291	417	509	268	213	310	632	559	328	301	130	162	472	459	412	314	124	119	51	252	183	111	591	654	290	472	72	443	209	124	89	109	146	244	104	118	261	125	64	202	316	358	583	153	321	
11	7	7	0	0	6	1	3	2	2	5	5	6	2	3	3	2	1	6	3	2	2	0	0	0	4	0	7	7	0	2	0	1	1	1	1	2	1	1	1	0	5	0	0	0	0	2	2	1	5	
4	7	3	7	1	2	6	4	3	1	1	3	1	5	4	1	0	10	3	3	2	0	0	0	1	2	0	4	9	6	7	1	2	2	2	0	0	1	5	0	0	1	1	1	1	0	5	3	0	2	
2	3	9	1	4	2	2	4	3	2	0	1	3	0	0	1	0	0	1	2	1	0	1	0	1	0	0	3	3	2	0	0	0	1	0	0	0	0	0	0	0	2	1	0	2	0	1	3	0	1	
3	2	5	2	2	1	4	4	0	1	1	3	1	1	0	0	0	0	2	4	0	1	0	1	0	0	0	3	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	2	0	0	0	0	0	
