"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	
463	219	191	317	537	1347	1487	1288	1364	1344	1243	1397	1252	1515	1290	1287	1320	1384	501	202	332	369	653	2321	415	1587	1039	1443	704	692	633	102	1103	587	423	409	141	170	288	702	171	109	159	548	270	136	1403	228	272	172	553	187	72	190	577	110	126	148	1129	2295	437	542	222	222	884	127	707	177	332	1270	280	175	615	233	97	178	133	478	92	232	124	
430	200	150	300	500	1300	1340	1200	1200	1200	1200	1200	1200	1400	1200	1100	1200	1250	450	180	300	300	600	2000	400	1450	950	1300	600	600	600	80	950	550	350	350	120	130	230	680	130	80	120	450	250	100	1300	200	200	150	500	180	60	170	580	100	120	130	1030	2100	400	500	200	180	800	100	640	150	300	1200	260	160	600	200	70	150	110	480	80	210	120	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
300	128	108	210	316	820	978	884	876	788	830	898	788	953	813	705	863	798	290	97	157	224	361	1112	229	905	488	919	343	374	353	60	759	366	281	284	74	100	162	340	89	54	88	312	152	77	773	125	174	94	269	89	44	78	292	56	55	77	656	1510	272	331	131	144	524	66	404	100	203	654	162	96	322	135	57	95	82	310	59	147	83	
16	6	6	11	10	29	21	11	16	32	181	19	22	14	20	39	30	24	16	4	13	8	18	87	17	40	28	24	19	33	16	4	28	25	10	20	4	2	17	49	3	6	5	29	15	0	54	11	9	5	19	8	4	8	33	6	9	17	47	37	17	24	4	2	39	6	46	7	13	44	5	11	31	13	1	5	6	19	4	17	13	
114	66	36	79	174	451	341	305	308	380	189	283	390	433	367	356	307	428	144	79	130	68	221	801	154	505	434	357	238	193	231	16	163	159	59	46	42	28	51	291	38	20	27	109	83	23	473	64	17	51	212	83	12	84	255	38	56	36	327	553	111	145	65	34	237	28	190	43	84	502	93	53	247	52	12	50	22	151	17	46	24	
16	6	6	11	10	29	21	11	16	32	181	19	22	14	20	39	30	24	16	4	13	8	18	87	17	40	28	24	19	33	16	4	28	25	10	20	4	2	17	49	3	6	5	29	15	0	54	11	9	5	19	8	4	8	33	6	9	17	47	37	17	24	4	2	39	6	46	7	13	44	5	11	31	13	1	5	6	19	4	17	13	
300	128	108	210	316	820	978	884	876	788	826	898	788	953	813	705	863	798	290	97	157	224	361	1112	229	905	488	919	343	374	353	60	759	366	281	284	74	100	161	340	89	54	88	312	152	77	773	125	174	94	269	89	44	78	292	56	55	77	655	1509	272	331	131	144	524	66	404	100	203	654	162	96	322	135	57	95	82	310	59	147	83	
5	1	1	7	10	13	20	14	13	19	17	9	5	10	8	24	13	19	5	1	10	8	10	20	3	27	13	16	4	10	3	0	8	7	6	6	0	0	4	7	1	0	1	5	0	0	8	2	0	1	3	3	1	0	0	2	0	0	26	26	3	7	5	1	7	1	7	0	2	13	3	1	7	1	0	0	1	5	0	0	5	
311	133	113	214	316	836	979	881	879	801	990	908	805	957	825	720	880	803	301	100	160	224	369	1179	243	918	503	927	358	397	366	64	779	384	285	298	78	102	174	382	91	60	92	336	167	77	819	134	183	98	285	94	47	86	325	60	64	94	676	1520	286	348	130	145	556	71	443	107	214	685	164	106	346	147	58	100	87	324	63	164	91	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	1	0	2	3	6	3	1	5	5	7	9	7	5	4	4	2	0	0	0	3	2	5	0	2	4	5	0	1	0	0	4	2	1	3	1	2	0	3	2	0	0	2	1	0	2	2	0	3	3	1	0	0	1	0	0	0	3	7	1	1	1	0	4	0	4	0	0	1	1	0	1	1	0	1	1	1	0	2	0	
33	21	16	22	34	129	171	170	152	128	157	154	140	157	139	122	145	174	22	10	14	32	65	222	33	157	82	162	55	57	34	6	134	86	55	38	22	10	15	43	9	6	20	58	11	8	92	12	23	3	36	5	1	18	29	3	0	11	93	302	42	34	21	20	92	10	57	9	50	76	11	15	45	19	0	6	7	20	7	15	4	
