"УИК №2701"	"УИК №2702"	"УИК №2703"	"УИК №2704"	"УИК №2705"	"УИК №2706"	"УИК №2707"	"УИК №2708"	"УИК №2709"	"УИК №2710"	"УИК №2711"	"УИК №2712"	"УИК №2713"	"УИК №2714"	"УИК №2715"	"УИК №2716"	"УИК №2717"	"УИК №2718"	
97	385	112	204	491	200	323	52	129	172	204	245	63	182	1488	807	996	1111	
100	420	150	280	550	240	410	60	160	200	230	350	80	200	1750	950	1180	1220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56	312	84	156	331	127	254	36	86	128	180	180	40	135	1037	584	668	658	
27	55	12	23	71	44	32	9	11	37	13	32	14	29	58	86	75	157	
17	53	54	101	148	69	124	15	63	35	37	138	26	36	655	280	437	405	
27	55	12	23	71	44	32	9	11	37	13	32	14	29	58	86	75	157	
56	312	84	156	331	127	254	36	86	128	180	180	40	135	1037	584	668	658	
0	8	0	4	2	2	1	0	2	0	3	0	0	1	13	8	9	11	
83	359	96	175	400	169	285	45	95	165	190	212	54	163	1082	662	734	804	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	0	0	0	1	3	0	1	0	0	2	0	0	7	7	6	3	
8	38	3	12	44	7	22	0	7	6	19	35	0	26	167	89	82	62	
7	21	6	18	21	18	20	3	12	5	15	14	2	10	85	47	50	48	
67	292	85	144	331	138	235	42	73	153	152	158	52	124	801	497	581	678	
1	3	2	0	0	0	1	0	0	0	2	0	0	0	5	9	3	5	
0	0	0	1	3	2	1	0	2	1	0	1	0	2	11	4	7	5	
0	1	0	0	0	3	3	0	0	0	0	1	0	0	3	7	2	1	
0	2	0	0	1	0	0	0	0	0	2	1	0	1	3	2	3	2	
