"УИК №2246"	"УИК №2247"	"УИК №2248"	"УИК №2249"	"УИК №2250"	"УИК №2251"	"УИК №2252"	"УИК №2253"	"УИК №2254"	"УИК №2255"	"УИК №2256"	
2043	1680	507	131	107	89	162	252	384	73	33	
2090	1750	550	140	100	100	180	255	370	80	35	
639	576	255	0	0	0	0	23	190	0	0	
768	629	136	102	75	74	91	146	93	56	23	
40	26	3	4	0	0	2	0	3	0	0	
643	519	156	34	25	26	87	86	84	24	12	
678	602	258	4	0	0	2	23	193	0	0	
768	629	136	102	75	74	91	146	93	56	23	
16	16	6	2	10	2	1	3	13	1	0	
1430	1215	388	104	65	72	92	166	273	55	23	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

8	10	1	0	0	0	1	1	1	1	0	
141	136	42	2	0	0	1	3	64	1	0	
169	140	51	8	9	2	6	5	23	4	1	
1045	888	285	86	56	69	83	155	178	47	22	
29	21	3	3	0	1	1	2	3	2	0	
17	7	4	3	0	0	0	0	1	0	0	
12	8	1	1	0	0	0	0	2	0	0	
9	5	1	1	0	0	0	0	1	0	0	
