"УИК №1355"	"УИК №1356"	"УИК №1357"	"УИК №1358"	"УИК №1359"	"УИК №1360"	"УИК №1361"	"УИК №1362"	"УИК №1363"	"УИК №1364"	"УИК №1365"	"УИК №1366"	"УИК №1368"	"УИК №1369"	"УИК №1370"	"УИК №1371"	"УИК №1372"	"УИК №1374"	"УИК №1375"	"УИК №1376"	"УИК №1377"	"УИК №1378"	"УИК №1379"	"УИК №1380"	"УИК №1381"	"УИК №1382"	"УИК №1383"	"УИК №1384"	"УИК №1385"	"УИК №1386"	"УИК №1387"	"УИК №1388"	"УИК №1389"	"УИК №1390"	"УИК №1391"	"УИК №1392"	"УИК №1393"	"УИК №1394"	"УИК №1395"	"УИК №1396"	"УИК №1397"	"УИК №1398"	"УИК №1399"	"УИК №1400"	
817	131	86	691	90	328	1143	934	926	1313	810	319	329	320	145	300	224	738	271	200	215	141	119	577	142	302	351	96	759	311	360	921	472	603	64	180	837	150	222	203	592	207	159	103	
863	142	94	726	95	339	1151	971	969	1380	847	332	330	348	164	341	267	783	282	204	238	151	117	613	146	320	368	102	791	326	384	984	494	676	71	190	847	140	223	204	623	204	150	97	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
720	115	62	561	68	289	733	619	774	936	639	252	281	262	121	250	195	482	239	163	181	122	106	499	133	256	294	76	619	259	311	769	377	469	61	135	724	118	163	170	510	172	125	82	
29	2	8	54	10	9	30	52	14	17	13	16	25	5	10	18	9	52	10	6	13	5	8	31	5	17	19	9	52	22	17	58	44	42	0	17	27	14	15	11	30	10	17	9	
114	25	24	111	17	41	388	300	181	427	195	64	24	81	33	73	63	249	33	35	44	24	3	83	8	47	55	17	120	45	56	157	73	165	10	38	96	8	45	23	83	22	8	6	
29	2	8	54	10	9	30	52	14	17	13	16	25	5	10	18	9	52	10	6	13	5	8	31	5	17	19	9	52	22	17	58	44	42	0	17	27	14	15	11	30	10	17	9	
720	115	62	561	68	289	733	619	774	936	639	252	281	262	121	250	195	482	239	163	181	122	106	499	133	256	294	76	619	259	311	769	377	469	61	135	724	118	163	170	510	172	125	82	
3	0	0	4	0	2	16	13	7	13	10	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	5	0	6	1	0	3	0	0	0	1	3	0	2	2	0	0	0	0	
746	117	70	611	78	296	747	658	781	940	642	268	306	267	131	268	203	532	248	169	194	127	114	530	138	273	308	85	665	280	328	824	421	511	61	151	748	132	176	179	540	182	142	91	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	0	0	8	0	0	3	2	7	12	5	3	1	2	0	0	0	1	1	0	1	0	3	2	1	4	1	1	4	2	2	4	2	3	0	2	8	0	2	0	2	0	1	0	
71	6	2	42	9	24	88	42	75	131	61	13	50	8	8	13	14	73	31	9	8	19	10	44	12	20	23	7	61	16	19	33	21	38	1	18	56	10	14	22	72	31	15	21	
51	8	2	18	3	11	59	34	34	69	31	17	21	19	5	6	6	23	8	7	8	7	3	9	3	13	9	4	23	20	20	14	11	24	0	5	49	9	15	6	23	2	2	0	
604	102	63	510	62	246	575	558	641	691	530	223	225	234	112	241	179	422	202	150	176	101	96	459	119	231	270	71	566	234	285	753	380	429	59	124	615	109	139	148	440	146	123	68	
4	1	0	13	0	6	8	7	13	17	2	3	3	1	2	2	2	8	3	2	0	0	0	8	1	2	2	0	3	1	1	9	1	5	0	0	5	4	3	0	0	3	0	1	
5	0	3	9	2	7	8	11	6	12	3	5	5	1	3	4	0	1	1	0	0	0	2	4	1	2	1	0	6	3	1	3	3	8	1	1	11	0	3	3	3	0	0	0	
5	0	0	6	1	2	5	4	3	8	6	2	1	2	1	1	2	2	1	1	0	0	0	3	0	1	2	2	1	2	0	3	3	4	0	0	3	0	0	0	0	0	0	0	
1	0	0	5	1	0	1	0	2	0	4	2	0	0	0	1	0	2	1	0	1	0	0	1	1	0	0	0	1	2	0	5	0	0	0	1	1	0	0	0	0	0	1	1	
