"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №796"	
135	171	410	1271	406	127	135	154	131	849	
130	150	400	1300	400	120	130	150	120	850	
0	0	0	0	0	0	0	0	0	0	
69	89	269	634	172	78	61	75	62	422	
17	33	37	70	59	9	11	27	18	54	
44	28	94	596	169	33	58	48	40	374	
17	33	37	70	59	9	11	27	18	54	
69	89	269	634	172	78	61	75	62	422	
2	0	2	4	2	1	1	0	0	2	
84	122	304	700	229	86	71	102	80	474	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

0	1	3	2	1	1	0	0	1	5	
6	5	19	97	26	10	14	10	14	64	
5	4	25	51	10	7	4	7	2	37	
72	111	250	538	188	67	52	82	61	357	
0	1	4	5	0	1	1	1	1	3	
0	0	1	4	1	0	0	2	1	5	
1	0	2	1	2	0	0	0	0	1	
0	0	0	2	1	0	0	0	0	2	
