"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	
1567	1759	1718	1486	1501	947	1830	1857	274	350	329	253	
1300	1300	1300	1300	1300	750	1400	1400	400	400	400	400	
0	0	0	0	0	0	0	0	0	0	0	0	
999	1142	1186	967	961	637	1191	1199	266	341	313	228	
31	37	41	31	32	22	21	44	0	0	0	0	
270	121	73	302	307	91	188	157	134	59	87	172	
31	37	41	31	32	22	21	44	0	0	0	0	
998	1142	1186	967	961	637	1191	1197	266	341	313	228	
15	9	22	9	18	7	18	19	1	9	0	3	
1014	1170	1205	989	975	652	1194	1222	265	332	313	225	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

9	8	11	4	7	10	8	8	1	2	2	2	
221	284	279	267	236	163	340	304	39	76	77	47	
69	49	70	49	69	48	91	76	13	15	22	8	
692	785	803	644	636	413	724	796	200	222	197	167	
13	18	21	12	6	5	10	17	5	6	6	0	
3	8	11	6	5	6	8	7	2	1	4	0	
4	9	4	5	9	6	9	8	3	4	1	0	
3	9	6	2	7	1	4	6	2	6	4	1	
