"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	
2705	2694	2747	2581	2677	
2500	2500	2500	2500	2500	
0	0	0	0	0	
1735	1614	1867	1693	1840	
68	72	33	62	35	
697	814	600	745	625	
68	72	33	62	35	
1735	1614	1866	1692	1840	
25	16	16	23	26	
1778	1670	1883	1731	1849	
0	0	0	0	0	
0	0	0	0	0	

14	18	11	19	20	
338	290	397	311	362	
148	162	148	137	158	
1197	1145	1246	1163	1208	
40	17	23	36	26	
11	13	20	18	18	
17	15	20	24	36	
13	10	18	23	21	
