"УИК №1352"	"УИК №1353"	"УИК №1354"	"УИК №1355"	"УИК №1356"	"УИК №1357"	"УИК №1358"	"УИК №1359"	"УИК №1360"	"УИК №1361"	"УИК №1362"	"УИК №1363"	"УИК №1364"	"УИК №1365"	"УИК №1366"	"УИК №1367"	"УИК №1368"	"УИК №1369"	"УИК №1370"	"УИК №1371"	"УИК №1372"	"УИК №1373"	"УИК №1374"	"УИК №1375"	"УИК №1376"	"УИК №1377"	"УИК №1378"	"УИК №1380"	"УИК №1381"	"УИК №1382"	"УИК №1383"	"УИК №1384"	"УИК №1385"	"УИК №1386"	"УИК №1387"	"УИК №1388"	"УИК №1389"	"УИК №1390"	"УИК №1391"	"УИК №1392"	"УИК №1393"	"УИК №1394"	"УИК №1395"	"УИК №1396"	"УИК №1397"	"УИК №1398"	"УИК №1399"	"УИК №1400"	"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1714"	"УИК №1752"	"УИК №1753"	"УИК №1754"	"УИК №1755"	"УИК №1756"	"УИК №1757"	"УИК №1758"	"УИК №1759"	
819	766	820	935	944	854	823	955	1020	274	703	475	136	137	166	521	503	519	1035	58	610	711	788	346	335	79	512	522	796	447	742	1155	1186	866	125	152	553	206	70	310	310	291	296	287	577	319	306	63	272	617	329	386	83	725	807	833	897	838	772	880	847	
839	787	846	963	901	867	858	934	998	272	721	475	135	138	169	526	493	526	1044	62	622	722	804	348	351	85	524	532	812	448	762	1164	1234	893	126	153	568	204	72	311	310	297	312	285	583	328	317	67	282	627	335	399	221	745	823	862	914	870	796	913	875	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
702	662	672	791	831	702	704	783	891	226	636	405	118	122	145	484	440	460	886	57	525	635	622	268	293	78	446	473	695	404	680	1013	1014	765	114	149	476	185	65	274	265	264	262	260	460	259	279	54	237	561	226	330	82	642	702	743	794	759	634	562	669	
40	42	67	45	36	73	37	76	63	36	19	43	11	7	16	19	22	25	68	0	48	40	108	50	23	1	30	16	39	11	20	44	38	54	5	0	42	12	3	21	34	15	16	23	81	40	9	6	27	19	87	33	0	24	27	37	20	50	72	143	73	
97	83	107	127	34	92	117	75	44	10	66	27	6	9	8	23	31	41	90	5	49	47	74	30	35	6	48	43	78	33	62	107	182	74	7	4	50	7	4	16	11	18	34	2	42	29	29	7	18	47	22	36	139	79	94	82	100	61	90	208	133	
40	42	67	45	36	73	37	76	63	36	19	43	11	7	16	19	22	25	68	0	48	40	108	50	23	1	30	16	39	11	20	44	38	54	5	0	42	12	3	21	34	15	16	23	81	40	9	6	27	19	87	33	0	24	27	37	20	50	72	143	73	
702	662	672	791	831	702	704	783	891	226	636	405	118	122	145	484	440	460	886	57	525	635	622	268	293	78	446	473	695	404	680	1013	1014	765	114	149	476	185	65	274	265	264	262	260	460	259	279	54	237	561	226	330	82	642	702	743	794	759	634	562	669	
3	2	3	7	5	3	2	3	5	3	0	0	0	0	1	5	8	2	7	0	2	3	4	0	2	0	3	5	7	4	4	8	6	4	0	1	1	1	0	0	2	2	3	2	4	2	2	0	0	1	0	3	0	3	5	3	2	0	6	3	6	
739	702	736	829	862	772	739	856	949	259	655	448	129	129	160	498	454	483	947	57	571	672	726	318	314	79	473	484	727	411	696	1049	1046	815	119	148	517	196	68	295	297	277	275	281	537	297	286	60	264	579	313	360	82	663	724	777	812	809	700	702	736	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	0	2	0	0	0	3	0	0	0	0	0	0	0	3	0	1	0	0	2	1	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	
59	28	2	19	10	3	4	8	10	1	12	7	2	1	2	9	4	11	8	0	7	7	10	15	3	0	3	9	15	1	5	6	11	2	1	0	8	3	1	3	3	1	3	0	13	4	4	0	5	6	3	2	1	7	6	6	37	5	12	19	17	
7	10	10	5	5	5	7	24	5	3	13	4	2	2	3	13	0	4	8	0	8	4	6	6	4	2	3	6	4	2	2	10	10	2	2	1	4	1	1	2	4	1	2	2	0	3	4	2	1	8	5	1	3	5	10	18	0	1	18	11	13	
667	662	709	805	836	758	720	805	918	255	629	437	124	126	155	476	444	468	924	56	551	653	703	297	307	77	466	469	705	406	686	1017	1011	805	116	147	505	192	66	290	289	275	270	276	524	288	278	58	258	565	305	356	78	649	696	741	775	801	670	662	695	
1	2	3	0	2	0	5	7	4	0	1	0	0	0	0	0	0	0	2	0	3	2	2	0	0	0	1	0	3	1	2	5	4	2	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	1	0	1	2	4	0	1	0	2	3	
0	0	3	0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	4	3	0	0	0	0	0	0	0	0	5	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	
2	0	4	0	3	4	0	2	2	0	0	0	1	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	1	0	8	2	
3	0	4	0	1	0	3	10	5	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	4	
