"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	
642	342	160	100	257	204	482	149	197	193	208	445	446	469	146	292	143	306	2333	2520	2075	2666	
634	341	161	103	263	207	474	150	200	197	210	447	445	475	147	290	147	305	2320	2490	2015	2635	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
307	248	89	74	209	176	257	73	137	120	118	330	286	266	93	171	98	150	1479	1826	1188	1596	
144	62	43	21	31	21	98	35	22	37	49	99	138	150	32	67	17	89	146	285	171	133	
183	31	29	8	23	10	119	42	41	40	43	18	21	59	22	52	32	66	695	379	656	906	
144	62	43	21	31	21	98	35	22	37	49	99	138	150	32	67	17	89	146	285	171	133	
307	248	89	74	209	176	257	73	137	120	118	330	286	266	93	171	98	150	1479	1826	1187	1595	
4	0	1	0	1	0	1	1	0	2	18	0	0	2	1	0	0	4	32	16	12	22	
447	310	131	95	239	197	354	107	159	155	149	429	424	414	124	238	115	235	1593	2095	1346	1706	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	1	0	1	0	7	2	0	0	1	5	0	2	0	0	1	1	9	11	8	12	
55	13	25	7	6	17	43	9	15	7	13	34	19	33	23	24	11	42	149	236	200	269	
33	9	7	6	5	12	22	4	5	10	8	16	10	8	7	11	8	10	92	77	69	110	
348	285	96	81	225	163	276	89	139	129	126	365	388	368	94	197	95	176	1311	1731	1049	1261	
4	2	0	0	1	1	3	0	0	5	0	2	4	1	0	2	0	1	15	13	9	19	
1	0	2	0	0	4	2	3	0	3	0	6	0	1	0	3	0	4	6	15	3	19	
2	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	7	9	3	9	
0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	4	3	5	7	
