"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №1907"	"УИК №1931"	
603	1414	1376	1052	1751	651	1784	2059	1750	2185	1201	1627	1882	2082	2258	2090	2166	2055	1943	1900	1882	1920	2174	2660	1806	2265	1918	1654	2224	1651	1567	2144	2200	1041	1549	2299	2333	2242	1507	1597	1462	2620	1660	2074	1656	1833	2318	2071	2625	2380	1580	1501	1653	2367	2504	1047	1477	1680	1293	2372	1313	554	90	
520	1350	1300	1000	1700	490	1700	2000	1650	2100	1150	1500	1850	2000	2200	2050	1950	1950	1900	1850	1800	1850	2100	2550	1750	2100	1900	1550	2150	1500	1450	2050	2150	950	1450	2150	2200	2150	1450	1500	1400	2550	1600	2050	1550	1800	2200	1950	2400	2200	1500	1450	1600	2300	2450	950	1450	1600	1200	2350	1250	500	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
183	620	660	455	957	424	963	1139	1014	1275	682	1071	1060	1158	1329	1251	1269	1197	1021	975	1048	1038	1305	1525	1005	1263	986	935	1107	926	907	1233	1283	586	858	1372	1474	1259	963	929	929	1588	969	1219	1023	1099	1376	1141	1562	1381	965	846	957	1333	1439	572	920	1091	701	1202	634	189	90	
137	9	5	4	38	3	14	27	13	48	18	21	41	23	24	33	20	22	17	7	31	35	22	16	40	37	28	36	9	31	27	31	51	17	10	17	17	10	27	13	21	31	27	24	17	33	34	69	12	30	20	29	39	50	17	18	9	11	28	13	15	192	0	
200	721	635	541	705	63	723	834	623	777	450	408	749	819	847	766	661	731	862	868	721	777	773	1009	705	800	886	579	1034	543	516	786	816	347	582	761	709	881	460	558	450	931	604	807	510	668	790	740	825	789	515	575	604	917	994	360	521	498	471	1135	601	119	210	
137	9	5	4	38	3	14	27	13	48	18	21	41	23	24	33	20	22	17	7	31	35	22	16	40	37	28	36	9	31	27	31	51	17	10	17	17	10	27	13	21	31	27	24	17	33	34	69	12	30	20	29	39	50	17	18	9	11	28	13	15	192	0	
183	620	660	455	957	424	961	1139	1014	1275	682	1071	1060	1158	1329	1250	1269	1197	1021	975	1048	1038	1302	1525	1005	1263	986	935	1107	926	906	1233	1283	586	858	1372	1474	1259	963	929	929	1588	969	1219	1023	1099	1376	1141	1562	1381	965	846	957	1332	1439	572	919	1091	701	1202	634	189	90	
4	7	7	1	7	7	10	11	10	16	3	8	8	11	14	14	13	9	5	7	10	8	13	18	9	5	7	11	18	8	9	8	12	5	7	14	14	8	4	10	8	17	13	8	14	7	6	5	13	14	12	6	6	11	16	4	3	11	9	18	5	2	0	
316	622	658	458	988	420	965	1155	1017	1307	697	1084	1093	1170	1339	1269	1276	1210	1033	975	1069	1065	1311	1523	1036	1295	1007	960	1098	949	924	1256	1322	598	861	1375	1477	1261	986	932	942	1602	983	1235	1026	1125	1404	1205	1561	1397	973	869	990	1371	1440	586	925	1091	720	1197	644	379	90	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	4	2	9	2	3	8	7	12	2	9	8	14	10	3	11	3	3	3	2	11	4	9	3	4	7	7	4	5	7	8	5	8	7	11	6	4	10	4	12	9	10	11	6	4	6	8	5	9	11	5	5	10	3	1	7	5	8	9	2	2	1	
68	109	93	80	187	92	192	209	201	187	118	206	198	219	261	252	226	184	200	180	219	180	265	304	158	239	170	181	186	182	157	218	191	96	147	270	270	280	147	201	163	313	201	230	190	210	242	168	293	280	182	149	157	247	266	101	173	202	131	243	126	46	13	
