"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	
1440	1424	988	1228	1799	2206	1729	1225	1724	2682	1758	1566	1191	1569	1021	1378	1341	1365	1021	2204	113	2049	2167	1699	1797	
1227	1200	900	1150	1500	2100	1650	1200	1650	2650	1800	1350	1000	1500	1000	1350	1300	1350	950	2150	115	2000	2150	1600	1850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
894	868	790	784	1002	1233	954	811	1030	1346	870	790	754	740	511	664	637	924	507	1024	113	1109	1460	1102	1100	
0	43	63	82	38	41	43	31	55	95	18	170	68	47	55	19	263	72	8	71	0	48	79	55	46	
333	289	47	284	460	826	653	358	565	1209	912	390	178	713	434	667	400	354	435	1055	2	843	611	443	704	
0	43	63	82	38	41	43	31	55	95	18	170	68	47	55	19	263	72	8	71	0	48	79	55	46	
894	863	790	784	1002	1229	953	811	1025	1346	870	789	754	740	511	664	637	923	507	1024	113	1109	1460	1102	1054	
12	14	10	8	6	19	21	2	12	12	12	14	7	5	8	7	4	6	9	12	1	18	0	0	6	
882	892	843	858	1034	1251	975	840	1068	1429	876	945	815	782	558	676	896	989	506	1083	112	1139	1539	1157	1094	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	9	6	3	10	15	11	7	10	16	6	10	3	12	11	4	6	11	3	6	2	8	7	3	17	
126	123	57	95	132	187	145	77	141	199	137	165	108	118	55	119	103	90	74	143	3	168	191	128	181	
33	40	32	35	53	47	45	16	45	63	40	46	27	21	38	30	53	43	31	78	0	64	58	45	42	
638	653	695	673	744	871	675	678	766	1050	608	660	610	577	404	485	669	771	368	786	102	835	1186	937	789	
40	30	15	20	48	54	43	22	34	43	31	24	31	17	22	15	27	23	11	32	2	21	47	16	32	
6	3	3	4	3	10	6	4	6	7	4	7	5	4	7	3	5	18	4	9	0	8	9	9	10	
7	14	12	4	13	20	17	8	12	22	25	14	7	10	8	4	12	14	4	12	0	18	16	6	11	
27	20	23	24	31	47	33	28	54	29	25	19	24	23	13	16	21	19	11	17	3	17	25	13	12	
