"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	
957	1045	2020	253	182	216	71	325	322	388	122	631	775	149	192	255	300	283	245	
880	970	1890	230	170	220	65	295	310	360	115	590	720	150	180	225	265	260	230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
605	555	1186	131	100	90	36	177	189	129	65	328	374	59	86	110	149	145	131	
19	34	67	18	29	26	7	35	20	97	9	50	38	22	44	48	43	26	13	
256	381	637	81	41	104	22	83	101	134	41	212	308	69	50	67	73	89	86	
19	34	67	18	29	26	7	35	20	97	9	50	38	22	44	48	43	26	13	
605	555	1185	131	100	90	36	177	189	129	65	328	374	59	86	110	149	145	131	
15	5	11	1	0	1	0	4	4	2	0	5	6	0	0	2	3	1	0	
609	584	1241	148	129	115	43	208	205	224	74	373	406	81	130	156	189	170	144	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	2	7	1	2	2	0	2	2	3	0	0	1	0	0	2	1	0	0	
173	110	340	19	27	10	5	26	21	50	11	73	76	12	20	21	46	45	17	
69	73	102	19	19	11	11	33	26	22	10	21	43	5	21	15	20	30	12	
348	385	758	107	77	91	27	145	152	147	51	272	275	64	85	116	114	89	113	
8	4	15	0	2	0	0	1	1	2	1	2	6	0	3	1	3	0	0	
2	3	7	1	1	0	0	1	1	0	1	2	1	0	1	0	1	4	2	
2	1	10	1	0	0	0	0	0	0	0	2	2	0	0	1	0	1	0	
1	6	2	0	1	1	0	0	2	0	0	1	2	0	0	0	4	1	0	
