"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	
1942	983	1491	2495	2232	2775	2238	2114	2195	2075	2208	1914	2148	1846	1922	2042	1931	1884	1988	1901	1835	1900	1942	1122	940	2750	
1800	1000	1300	2300	2100	2600	2100	2000	2000	1900	2100	1700	2000	1700	1800	1900	1800	1700	1800	1800	1700	1800	1800	1100	950	2300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1295	663	1109	1781	1562	1889	1570	1428	1488	1406	1536	1170	1557	1289	1245	1441	1330	1278	1367	1322	1258	1277	1200	746	591	1912	
49	40	38	58	73	79	73	77	115	63	86	53	61	78	59	58	39	52	53	60	46	71	59	39	56	115	
456	297	153	461	465	632	457	495	397	431	478	477	382	333	496	401	431	370	380	418	396	452	541	315	303	273	
49	40	38	58	73	79	73	77	115	63	86	53	61	78	59	58	39	52	53	60	46	71	59	39	56	115	
1294	663	1109	1781	1562	1889	1568	1228	1487	1405	1536	1170	1556	1289	1245	1441	1330	1276	1367	1322	1258	1277	1200	746	591	1912	
16	5	16	24	18	33	20	35	20	21	26	16	22	21	20	15	10	20	27	17	17	11	15	8	2	26	
1327	698	1131	1815	1617	1935	1621	1270	1582	1447	1596	1207	1595	1346	1284	1484	1359	1308	1393	1365	1287	1337	1244	777	645	2001	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	3	10	18	13	16	10	13	20	13	15	12	11	15	16	9	10	13	9	12	12	18	18	4	6	16	
217	97	151	222	183	233	211	172	212	171	210	168	194	192	176	199	167	162	180	160	171	171	193	106	90	254	
104	67	101	139	149	160	105	116	127	121	109	103	128	86	104	110	110	124	131	129	89	109	90	77	53	165	
900	493	804	1336	1170	1404	1190	908	1147	1047	1161	852	1169	985	920	1064	988	956	1014	998	937	978	872	557	458	1457	
31	16	31	43	39	57	61	23	30	42	47	37	36	23	29	40	35	27	19	24	29	23	35	12	16	56	
12	7	10	20	15	20	10	15	21	14	10	9	19	19	11	26	17	12	19	16	14	16	9	9	8	24	
12	8	7	17	24	19	15	7	13	18	20	13	15	11	12	14	22	7	6	11	15	6	10	5	5	14	
35	7	17	20	24	26	19	16	12	21	24	13	23	15	16	22	10	7	15	15	20	16	17	7	9	15	
