"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №699"	"УИК №700"	"УИК №701"	
364	1707	2103	964	374	490	821	386	289	474	294	1075	583	447	211	455	1374	146	201	359	594	259	133	227	504	103	369	335	469	234	
350	1700	2000	1300	340	500	1000	500	300	500	500	1100	500	450	300	400	1700	170	180	340	600	250	120	200	650	100	400	350	500	250	
0	300	134	445	96	33	608	53	105	157	172	965	5	11	72	0	835	0	0	0	0	35	0	0	47	0	0	20	0	0	
264	812	1088	386	193	330	173	245	142	212	92	67	378	303	106	350	532	142	166	246	367	158	106	169	289	86	284	191	282	162	
9	33	35	10	6	12	5	15	3	13	0	1	53	20	4	24	7	4	5	10	15	12	0	3	13	9	10	10	15	8	
77	555	743	459	45	125	214	187	50	118	236	67	64	116	118	26	326	24	9	84	218	45	14	28	301	5	106	129	203	80	
9	333	169	455	102	45	613	68	108	170	172	965	58	31	76	24	842	4	5	10	15	47	0	3	60	9	10	30	15	8	
264	810	1088	386	193	330	173	245	142	212	92	67	378	303	106	350	532	142	166	246	367	158	106	169	289	86	284	191	282	162	
0	18	20	10	3	5	15	3	3	6	2	22	6	3	2	6	35	2	3	2	3	1	1	4	5	1	5	3	1	1	
273	1125	1237	831	292	370	771	310	247	376	262	1010	430	331	180	368	1339	144	168	254	379	204	105	168	344	94	289	218	296	169	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	7	4	0	3	7	0	1	3	1	4	6	1	0	0	4	1	2	4	1	0	1	2	1	0	0	1	5	0	
31	99	119	120	42	52	170	22	24	50	40	174	47	20	25	37	240	2	10	12	34	15	1	27	35	0	12	23	37	6	
22	116	118	106	25	44	87	32	35	34	26	109	43	38	16	35	183	17	4	23	29	13	11	11	42	10	17	17	15	14	
214	883	959	579	213	263	484	254	182	281	187	680	317	263	137	284	865	123	144	213	304	171	89	126	257	83	250	175	235	148	
2	10	14	13	6	5	8	2	3	2	5	18	7	5	1	4	20	1	4	1	2	3	1	1	2	0	1	2	2	0	
1	5	5	3	1	1	4	0	1	2	1	12	5	1	0	2	10	0	0	1	3	1	0	0	4	0	1	0	0	1	
0	1	6	2	0	2	5	0	1	0	1	7	3	2	1	2	8	0	3	0	6	1	1	1	2	1	5	0	2	0	
3	9	9	4	5	0	6	0	0	4	1	6	2	1	0	4	9	0	1	0	0	0	1	0	1	0	3	0	0	0	
