"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	
219	440	396	478	749	374	242	294	209	110	79	480	80	655	65	195	461	167	262	373	305	
214	442	422	486	719	375	250	294	221	119	77	522	80	689	66	192	506	182	281	377	297	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
142	347	326	453	643	321	197	267	188	91	47	419	56	552	33	112	386	137	208	309	250	
67	57	36	23	38	51	30	27	13	14	18	27	19	91	30	80	44	26	35	34	36	
5	38	60	10	38	3	23	0	20	14	12	76	5	46	3	0	76	19	38	34	11	
67	57	36	23	38	51	30	27	13	14	18	27	19	91	30	80	44	26	35	34	36	
142	347	326	453	643	321	197	267	188	91	47	419	56	552	33	112	386	137	208	309	250	
1	3	8	13	2	3	0	0	1	2	1	3	0	9	0	1	2	2	1	18	4	
208	401	354	463	679	369	227	294	200	103	64	443	75	634	63	191	428	161	242	325	282	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	2	1	2	0	0	1	0	0	0	1	0	2	0	2	3	0	0	2	0	
15	56	37	57	115	26	21	19	17	6	12	35	1	17	2	6	44	34	22	22	23	
20	36	20	27	40	2	23	23	22	16	5	20	0	24	2	10	22	13	8	10	8	
169	294	283	369	502	337	176	248	157	80	47	379	73	584	59	171	354	110	210	281	245	
1	3	4	5	6	1	3	2	1	0	0	1	0	1	0	1	4	4	2	2	2	
1	5	1	1	3	3	2	0	0	1	0	6	1	4	0	0	0	0	0	5	2	
1	4	6	3	5	0	1	1	2	0	0	1	0	2	0	0	0	0	0	3	0	
0	3	1	0	6	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	2	
