"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	"УИК №853"	"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	
387	184	311	171	212	412	176	149	210	177	297	360	257	427	243	204	152	84	155	239	328	172	373	315	2571	2241	1075	372	
390	180	330	170	230	420	175	175	210	180	275	380	270	440	260	200	165	75	150	240	320	170	380	335	2630	2370	1090	390	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
215	71	176	142	163	300	142	115	161	127	239	318	176	316	215	155	124	54	120	178	231	138	257	260	1721	1839	647	258	
114	89	96	9	18	58	9	15	21	21	20	3	43	38	0	23	7	7	14	32	61	19	71	9	183	126	97	39	
61	20	58	19	49	62	24	45	28	32	16	59	51	86	45	22	34	14	16	30	28	13	52	66	726	405	346	93	
114	89	96	9	18	58	9	15	21	21	20	3	43	38	0	23	7	7	14	32	61	19	71	9	183	126	97	39	
215	71	176	142	163	300	142	115	161	127	239	318	176	316	215	155	124	54	120	178	231	138	257	260	1721	1839	647	258	
4	1	2	0	0	0	0	0	0	0	3	4	0	1	0	0	0	0	1	1	1	0	9	0	16	19	5	2	
325	159	270	151	181	358	151	130	182	148	256	317	219	353	215	178	131	61	133	209	291	157	319	269	1888	1946	739	295	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	1	2	5	1	0	0	1	2	2	0	2	2	1	2	0	3	0	1	3	0	4	11	11	2	0	
10	10	10	6	8	45	7	7	13	13	20	50	15	71	19	12	5	12	5	7	12	10	18	19	192	153	70	38	
11	6	7	10	15	6	23	7	12	13	12	23	9	22	11	3	8	2	13	7	4	4	31	24	109	93	37	17	
303	141	250	128	152	299	117	115	151	112	214	225	189	243	179	160	109	45	111	194	269	138	268	219	1548	1654	614	236	
1	1	0	4	0	1	2	0	3	1	3	6	3	5	1	0	1	1	0	0	1	1	1	2	14	17	6	3	
0	1	0	2	4	1	0	0	0	4	5	6	3	6	2	1	4	1	1	0	1	1	0	1	8	12	6	1	
0	0	0	0	0	0	1	1	3	3	0	3	0	4	1	1	2	0	0	1	0	0	0	0	4	3	3	0	
0	0	2	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	3	0	1	0	2	3	1	0	
