"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	
1017	1074	560	2016	1887	1765	1711	1616	1412	506	744	567	1549	1405	1354	2276	1778	975	862	1404	999	2272	2063	2679	1637	1617	1778	1538	1527	1494	1768	1598	543	626	2117	1129	
950	950	500	1850	1750	1550	1550	1450	1300	450	650	500	1400	1300	1250	2000	1600	800	800	2000	950	2050	2150	2500	1500	1500	1600	1400	1500	1400	1600	2600	500	550	1900	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
398	788	415	1299	1077	975	919	1045	955	263	341	246	888	816	810	1644	1000	541	516	1352	823	1176	1884	2233	1299	891	1074	915	936	856	1356	1549	190	476	1729	827	
262	149	52	185	64	350	38	282	200	187	139	250	31	27	96	132	31	24	18	52	41	544	179	125	160	121	22	116	25	35	51	49	310	36	140	143	
290	13	33	366	609	225	593	123	145	0	170	4	481	457	344	224	569	235	266	596	86	330	87	142	41	488	504	369	539	509	193	1002	0	38	31	30	
262	149	52	185	64	350	38	282	200	187	139	250	31	27	96	132	31	24	18	52	41	544	179	125	160	121	22	116	25	35	51	49	310	36	140	143	
398	788	415	1299	1077	973	919	1045	955	263	341	246	888	816	810	1644	1000	540	516	1352	823	1176	1884	2233	1299	891	1074	915	911	856	1356	1549	190	476	1729	827	
10	18	5	9	24	20	27	6	4	1	3	0	19	12	19	15	9	10	11	21	23	18	22	12	0	11	17	11	9	9	10	0	5	0	12	3	
650	919	462	1475	1117	1303	930	1321	1151	449	477	496	900	831	887	1761	1022	554	523	1383	841	1702	2041	2346	1459	1001	1079	1020	927	882	1397	1598	495	512	1857	967	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	5	2	4	6	6	5	13	2	3	2	2	5	6	10	10	4	4	0	13	5	11	6	3	17	3	4	4	7	5	12	13	5	2	12	1	
56	30	31	104	139	185	122	47	65	30	61	15	110	83	102	78	137	76	71	195	24	132	139	192	120	89	135	94	124	130	133	247	37	47	55	57	
52	73	16	75	98	128	115	141	75	43	48	36	89	80	75	69	113	71	58	145	64	127	164	111	99	89	100	88	83	79	95	154	16	42	161	68	
528	795	406	1241	830	929	649	1093	993	360	358	426	658	632	659	1570	706	381	361	978	740	1376	1703	2006	1161	801	778	778	667	632	1113	1095	422	415	1570	833	
3	1	2	27	22	21	17	5	4	5	1	3	18	13	14	6	25	6	15	18	2	20	14	6	18	8	20	24	17	14	19	37	3	1	12	6	
3	8	4	8	5	9	9	3	2	3	2	9	7	2	9	5	10	5	2	13	2	11	7	10	13	7	17	8	10	10	8	14	6	1	15	2	
4	3	0	6	7	11	6	7	6	1	2	1	6	7	6	12	8	6	7	9	2	17	5	9	14	3	6	11	9	5	9	17	3	3	14	0	
1	4	1	10	10	14	7	12	4	4	3	4	7	8	12	11	19	5	9	12	2	8	3	9	17	1	19	13	10	7	8	21	3	1	18	0	
