"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	
696	1243	875	1729	516	
595	1030	703	1602	470	
0	0	174	0	0	
504	844	457	1588	427	
16	23	6	14	13	
75	163	66	0	30	
16	23	180	14	13	
504	844	457	1588	427	
9	24	24	10	6	
511	843	613	1592	434	
0	0	0	0	0	
0	0	0	0	0	

2	2	6	3	0	
42	92	79	91	25	
69	73	57	148	46	
389	657	451	1318	346	
2	6	6	18	9	
3	3	8	5	5	
3	1	4	3	1	
1	9	2	6	2	
