"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	
2011	1968	1401	997	127	117	91	160	517	90	143	397	88	93	507	123	126	91	100	598	79	66	670	83	205	180	80	573	568	84	108	114	96	273	102	399	119	165	241	387	64	102	182	
2017	1963	1409	997	127	122	86	162	520	88	143	396	87	93	506	122	124	88	97	603	79	67	661	94	206	176	80	569	575	82	108	115	96	272	102	398	118	165	241	454	67	103	182	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1737	1590	1204	938	113	117	86	141	450	81	125	306	71	68	472	117	119	83	86	541	70	66	561	76	162	154	56	552	467	77	100	106	89	237	101	370	112	155	241	362	64	93	162	
70	103	84	32	0	0	0	0	45	7	15	44	13	4	29	5	5	5	7	40	3	0	72	7	21	12	20	12	34	5	4	3	6	20	0	9	0	10	0	25	0	2	0	
210	270	121	27	14	5	0	21	25	0	3	46	3	21	5	0	0	0	4	22	6	1	28	11	23	10	4	5	74	0	4	6	1	15	1	19	6	0	0	67	3	8	20	
70	103	84	32	0	0	0	0	45	7	15	44	13	4	29	5	5	5	7	40	3	0	72	7	21	12	20	12	34	5	4	3	6	20	0	9	0	10	0	25	0	2	0	
1737	1590	1204	938	113	117	86	141	450	81	125	306	71	68	472	117	119	83	86	541	70	66	561	76	162	154	56	552	467	77	100	106	89	237	101	370	112	155	241	362	64	93	162	
0	0	0	17	0	0	2	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0	
1807	1693	1288	953	113	117	84	141	495	88	139	350	84	72	501	122	124	88	90	581	73	66	633	83	181	166	76	564	500	82	104	109	95	255	101	379	112	165	238	387	64	95	162	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	4	3	4	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	2	1	0	1	0	1	1	1	2	0	0	0	0	0	0	1	0	0	2	1	2	0	0	1	
43	46	33	22	2	3	1	6	6	2	3	11	2	2	7	3	2	4	9	15	5	2	14	2	6	8	12	7	11	2	1	2	35	2	2	2	10	2	2	13	2	1	2	
57	68	47	31	3	4	1	1	14	3	5	30	5	15	15	3	6	0	5	22	1	4	17	3	7	9	9	9	13	4	5	5	8	5	2	9	3	9	7	15	4	6	10	
1682	1561	1190	890	104	108	81	134	471	81	129	306	76	55	475	116	113	84	76	535	66	60	594	75	163	146	51	538	475	72	97	101	52	248	96	368	99	150	226	354	57	88	143	
6	3	4	2	1	0	0	0	1	1	1	1	0	0	2	0	1	0	0	3	0	0	2	2	1	1	1	2	1	1	1	1	0	0	0	0	0	0	1	1	0	0	2	
3	5	2	4	2	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	3	0	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	
4	5	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	
5	1	4	0	1	2	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	
