"УИК №2721"	"УИК №2722"	"УИК №2723"	"УИК №2724"	"УИК №2725"	"УИК №2726"	"УИК №2727"	"УИК №2728"	"УИК №2729"	"УИК №2730"	"УИК №2731"	"УИК №2732"	"УИК №2733"	"УИК №2734"	"УИК №2735"	"УИК №2736"	"УИК №2737"	"УИК №2738"	"УИК №2739"	"УИК №2740"	"УИК №2741"	"УИК №2742"	"УИК №2743"	"УИК №2744"	"УИК №2745"	"УИК №2746"	"УИК №2747"	"УИК №2748"	"УИК №2749"	"УИК №2750"	"УИК №2751"	"УИК №2752"	"УИК №2753"	"УИК №2754"	"УИК №2755"	"УИК №2756"	"УИК №2757"	"УИК №2758"	"УИК №2759"	"УИК №2760"	"УИК №2761"	"УИК №2762"	"УИК №2763"	"УИК №2764"	"УИК №2765"	"УИК №2766"	"УИК №2767"	"УИК №2768"	"УИК №2769"	"УИК №2770"	"УИК №2771"	"УИК №2772"	"УИК №2773"	"УИК №2774"	"УИК №2775"	"УИК №2776"	"УИК №2777"	"УИК №2778"	"УИК №2779"	"УИК №2780"	"УИК №2781"	"УИК №2782"	"УИК №2783"	"УИК №2784"	"УИК №2785"	"УИК №2786"	
1352	2035	1928	2226	2272	1479	2732	2498	2018	2065	2240	2418	2526	2146	2414	2112	2071	2227	1781	2010	2045	2098	1771	1764	1698	1948	1649	1567	1804	1529	2137	2067	2019	2004	2421	2264	1653	1968	1936	2438	1407	1342	2067	1775	1602	1902	1776	1737	1730	1726	1773	2137	1997	1535	2233	2121	2185	1843	1874	2129	2372	2490	2175	2847	2260	2264	
1300	2000	1900	2200	2300	1400	2600	2400	1900	2100	2200	2400	2500	2100	2400	2100	2100	2200	1700	2000	2026	2000	1700	1400	1112	1148	1040	882	1145	911	2000	2000	2000	2000	2300	2200	1600	2000	1500	2400	1200	1004	2100	1700	1600	1119	1800	1700	1700	1800	1057	2100	2000	1500	2200	2000	2200	1800	1800	2100	2400	2400	2100	2800	2200	2250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
657	1088	1012	1278	1294	803	1466	1280	1245	1328	1285	1439	1372	1418	1435	1332	1262	1360	1113	1134	1188	1333	1113	954	1080	1127	997	842	1120	887	1362	1185	1245	1203	1413	1302	747	1109	1370	1411	775	779	1166	1042	886	1068	1082	1002	997	1018	1020	1425	1071	821	1293	1287	1356	1058	1077	1246	1364	1460	1203	1749	1386	1289	
33	75	63	42	34	26	36	93	23	14	60	26	33	9	31	59	44	76	29	71	31	51	5	345	32	21	43	40	25	24	51	66	30	31	49	35	65	61	30	33	61	45	19	23	25	51	35	34	31	25	37	121	29	52	29	32	53	101	156	37	60	47	36	15	25	10	
610	837	825	880	972	571	1098	1027	632	758	855	935	1095	673	934	709	794	764	558	795	807	616	582	101	0	0	0	0	0	0	587	749	725	766	838	863	788	830	100	956	364	180	915	635	689	0	683	664	672	757	0	554	900	627	878	681	791	641	567	817	976	893	861	1036	789	951	
33	75	63	42	34	26	36	93	23	14	60	26	33	9	31	59	44	76	29	71	31	51	5	345	31	21	43	40	25	24	51	66	30	31	49	35	65	61	30	33	61	45	19	23	25	51	35	34	31	25	37	121	29	52	29	32	53	101	156	37	60	47	36	15	25	10	
657	1088	1012	1278	1294	803	1466	1280	1244	1328	1285	1439	1365	1418	1435	1331	1262	1360	1111	1134	1186	1333	1113	954	1076	1127	995	840	1116	884	1362	1185	1245	1203	1413	1300	747	1109	1367	1411	775	778	1166	1042	886	1068	1082	1002	997	1018	1020	1425	1071	821	1293	1287	1356	1058	1077	1244	1364	1460	1196	1749	1386	1289	
6	18	9	12	12	9	19	10	11	11	12	11	5	10	15	33	9	18	8	12	9	15	14	12	11	5	5	4	8	4	0	15	13	9	12	15	13	21	16	9	5	2	9	13	10	5	6	7	5	11	2	16	6	3	16	11	8	9	16	8	16	9	7	20	8	10	
684	1145	1066	1308	1316	820	1483	1363	1256	1331	1333	1454	1393	1417	1451	1357	1297	1418	1132	1193	1208	1369	1104	1287	1096	1143	1033	876	1133	904	1413	1236	1262	1225	1450	1320	799	1149	1381	1435	831	821	1176	1052	901	1114	1111	1029	1023	1032	1055	1530	1094	870	1306	1308	1401	1150	1217	1273	1408	1498	1225	1744	1403	1289	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	13	10	11	8	9	8	5	10	7	12	12	7	18	14	6	18	6	5	1	8	18	8	9	10	11	6	8	8	11	8	12	10	16	16	5	7	6	9	5	4	11	4	3	4	4	5	10	9	8	9	14	3	9	14	9	13	6	6	10	15	10	8	8	7	
49	88	115	102	104	62	121	127	134	128	133	131	120	199	163	169	139	149	97	128	121	170	121	115	112	131	116	74	132	107	125	128	133	135	167	140	70	90	120	148	69	60	105	110	79	113	105	126	97	118	102	137	100	72	121	119	150	97	101	109	144	110	83	182	178	106	
36	86	72	108	98	60	99	90	70	77	90	73	104	65	82	71	67	78	47	67	84	74	58	58	51	78	56	69	56	59	63	80	84	79	88	86	55	52	105	73	46	62	82	83	46	61	72	65	64	69	64	82	69	55	89	70	83	53	64	96	89	92	52	114	72	94	
581	922	817	1034	1058	662	1182	1074	982	1041	1035	1167	1088	1062	1101	1004	988	1084	953	934	921	1012	836	1026	855	848	781	679	859	681	1139	963	962	937	1105	1023	634	955	1097	1162	665	651	907	804	733	875	871	796	784	790	839	1236	866	715	1023	1043	1089	939	985	983	1108	1215	1027	1340	1088	1020	
8	19	20	18	12	12	29	26	23	29	30	31	23	38	30	44	48	33	10	20	41	43	30	35	26	40	38	14	27	11	35	17	27	25	28	23	13	20	29	14	18	25	29	24	17	27	19	12	25	23	16	25	8	10	25	24	27	20	25	35	25	31	18	45	22	21	
1	7	4	6	8	0	8	11	10	8	6	11	15	7	17	8	8	8	3	9	8	7	6	9	7	2	3	6	7	10	8	7	9	7	16	8	6	8	6	8	7	6	9	6	8	10	11	7	10	4	7	13	9	7	10	10	7	6	12	15	8	6	8	13	10	11	
4	6	13	14	13	7	16	12	12	14	20	13	14	15	16	13	20	14	8	16	13	25	24	15	12	16	11	9	24	9	6	11	15	13	9	9	8	3	7	10	6	8	12	11	4	12	10	7	14	11	9	16	17	5	14	14	18	9	12	15	9	10	12	25	10	17	
3	12	12	16	12	9	19	15	20	24	12	16	17	24	24	34	21	34	8	14	19	30	11	21	24	18	17	19	20	19	26	22	20	19	21	15	8	14	11	11	15	5	21	10	11	12	19	11	19	8	10	12	11	3	15	14	18	13	12	14	15	19	15	17	15	13	
