"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	
2328	1335	1957	1651	2052	937	1903	702	1767	354	1061	738	245	
2350	1350	1950	1600	1950	900	1900	650	1650	300	1050	700	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	
1340	721	1373	1069	1171	595	1396	526	1105	209	571	450	200	
519	239	259	102	95	148	177	51	164	65	63	35	15	
491	390	318	429	684	157	327	73	381	26	416	215	35	
519	239	259	102	95	148	177	51	164	65	63	35	15	
1340	721	1373	1069	1171	595	1396	526	1105	209	571	450	200	
26	5	15	0	1	11	36	7	5	1	10	9	1	
1833	955	1617	1171	1265	732	1537	570	1264	273	624	476	214	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

12	3	14	2	5	1	5	5	3	1	9	2	2	
264	134	198	112	219	172	229	77	178	34	104	43	38	
73	47	90	30	24	14	86	34	91	18	48	21	10	
1457	754	1280	1021	997	536	1201	445	971	214	453	406	159	
8	6	11	0	7	2	7	4	5	1	3	1	3	
11	8	10	1	11	5	8	3	9	4	4	2	1	
4	1	10	3	2	2	1	1	3	1	0	0	0	
4	2	4	2	0	0	0	1	4	0	3	1	1	
