"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №3766"	"УИК №3767"	"УИК №3768"	"УИК №3769"	"УИК №3770"	"УИК №3771"	
1984	1702	968	1490	1138	1654	1244	631	657	1572	2200	431	1562	1361	940	1518	644	495	210	
1499	1345	693	1016	796	1222	893	534	465	1151	2000	328	988	885	743	1062	463	397	176	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1084	949	448	775	585	1015	674	406	432	896	1322	286	862	708	548	806	386	345	140	
122	10	17	32	3	30	23	12	8	21	16	6	6	27	16	21	1	1	1	
292	386	228	209	208	177	196	116	25	234	662	36	120	150	179	235	76	51	35	
122	10	17	32	3	30	23	12	8	21	16	6	6	27	16	21	1	1	1	
1084	949	448	775	585	1015	674	406	432	896	1322	286	862	708	548	806	386	345	140	
23	7	2	11	3	6	14	4	5	12	11	5	4	10	4	13	5	3	0	
1183	952	463	796	585	1039	683	414	435	905	1327	287	864	725	560	814	382	343	141	
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	11	4	11	7	13	11	5	4	15	12	6	2	4	5	8	3	0	2	
148	121	62	139	94	166	85	63	60	128	181	42	146	96	68	107	42	42	20	
53	54	27	41	37	55	32	28	27	48	82	20	43	35	29	52	18	15	5	
891	710	344	559	412	725	524	286	315	677	989	201	629	564	421	618	307	265	105	
39	28	10	24	14	40	12	19	13	16	25	12	23	8	18	13	3	10	4	
7	5	8	5	3	7	2	5	2	10	4	2	5	2	2	5	2	2	1	
16	10	5	6	7	13	4	6	8	6	12	2	11	3	7	2	4	4	3	
16	13	3	11	11	20	13	2	6	5	22	2	5	13	10	9	3	5	1	
