"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №3636"	"УИК №3637"	"УИК №3638"	
2390	2137	2184	2546	2221	1073	2130	2247	2178	2290	2238	1234	274	96	
1800	1700	1800	1800	1600	900	1700	1800	1700	1700	1900	1500	400	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1275	1181	1106	1309	1259	571	1124	1241	1143	1257	1169	858	212	65	
76	45	91	48	56	34	49	51	46	60	67	367	49	24	
449	474	603	443	285	295	527	508	511	383	664	275	139	111	
76	45	90	48	56	34	49	51	46	60	67	367	49	24	
1273	1181	1106	1306	1259	571	1124	1241	1138	1253	1168	858	211	65	
23	41	36	14	23	8	20	21	14	34	12	27	2	0	
1326	1185	1160	1340	1292	597	1153	1271	1170	1279	1223	1198	258	89	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	15	13	15	8	5	9	19	10	19	16	7	1	0	
155	167	119	157	134	68	123	166	157	171	143	135	28	10	
36	46	45	68	68	34	63	39	48	46	39	55	11	2	
917	770	821	870	907	409	816	846	771	864	874	927	202	68	
78	69	69	108	71	37	65	107	83	80	63	38	8	7	
8	12	5	12	9	2	13	11	14	13	11	8	2	0	
28	33	27	28	28	9	14	31	30	22	22	9	2	1	
91	73	61	82	67	33	50	52	57	64	55	19	4	1	
