"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	
1270	1476	329	277	206	350	278	308	369	331	160	
1300	1400	400	300	200	400	300	400	450	400	200	
3	5	0	0	9	7	0	0	5	0	0	
713	874	245	221	114	279	226	217	274	259	130	
50	66	17	7	4	18	13	10	13	24	5	
534	455	138	72	73	96	61	173	158	117	65	
53	71	17	7	13	25	13	10	18	24	5	
713	874	245	221	114	279	226	217	274	259	130	
2	10	0	0	1	1	0	0	1	0	3	
764	935	262	228	126	303	239	227	291	283	132	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

4	5	0	0	2	1	0	0	1	0	0	
109	119	24	28	9	36	29	37	45	21	18	
36	41	5	6	3	7	11	3	8	3	6	
593	744	222	181	111	255	190	183	219	253	103	
19	13	8	10	1	1	5	4	11	3	3	
0	6	0	2	0	0	2	0	4	0	0	
3	2	2	1	0	3	0	0	3	1	2	
0	5	1	0	0	0	2	0	0	2	0	
