"УИК №4501"	"УИК №4502"	"УИК №4503"	"УИК №4504"	"УИК №4505"	"УИК №4506"	"УИК №4507"	"УИК №4508"	"УИК №4509"	"УИК №4510"	"УИК №4511"	"УИК №4512"	"УИК №4513"	"УИК №4514"	"УИК №4515"	"УИК №4516"	"УИК №4517"	"УИК №4518"	"УИК №4519"	"УИК №4520"	"УИК №4521"	"УИК №4522"	"УИК №4523"	"УИК №4524"	"УИК №4525"	"УИК №4526"	"УИК №4527"	"УИК №4528"	"УИК №4529"	"УИК №4530"	"УИК №4531"	"УИК №4532"	"УИК №4533"	"УИК №4534"	"УИК №4535"	"УИК №4536"	"УИК №4537"	"УИК №4538"	"УИК №4539"	
2164	1803	2559	2533	1137	2514	1354	2058	1829	1569	2512	2462	2528	2307	1766	1503	992	1940	1769	1494	2720	1046	1159	2828	1310	537	1808	1468	1292	888	2235	1760	1257	457	2520	1226	1425	1857	873	
2400	1800	2700	2600	1100	2400	1300	1800	1600	1500	2200	2200	2400	2300	1800	1500	900	1800	1800	1500	2800	1000	1100	2300	1100	500	1600	1400	1300	700	2400	1600	1100	400	2700	1200	1300	1800	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1713	1700	2092	1659	801	1904	759	1527	1062	1089	1538	1878	1895	1531	1341	995	823	1436	1341	1161	1690	814	843	1769	1053	415	1389	1336	975	589	1501	1225	819	377	1281	889	1233	1116	685	
109	4	68	350	212	120	97	107	41	200	44	38	75	49	103	28	69	155	184	96	309	21	36	86	39	71	38	24	29	33	29	11	25	12	13	106	13	16	14	
578	96	540	591	87	376	444	166	497	211	618	284	430	720	356	477	8	209	275	243	801	165	221	445	8	14	173	40	296	78	870	364	256	11	1406	205	54	668	201	
109	4	68	350	212	120	97	107	41	200	44	38	75	49	103	28	69	155	184	96	309	21	36	86	39	71	38	24	29	33	29	11	25	12	13	104	13	16	14	
1713	1700	2088	1659	801	1904	759	1526	1062	1089	1538	1878	1895	1527	1341	995	823	1436	1341	1159	1690	814	843	1769	1053	415	1389	1336	975	589	1500	1225	819	377	1281	889	1233	1116	685	
25	29	29	25	11	16	15	25	21	11	27	22	33	39	24	14	8	10	11	25	24	11	108	14	5	8	27	13	16	5	20	12	11	2	14	11	14	20	13	
1797	1675	2127	1984	1002	2008	841	1608	1082	1278	1555	1894	1937	1537	1420	1009	884	1581	1514	1230	1975	824	771	1841	1087	478	1400	1347	988	617	1509	1224	833	387	1280	982	1232	1112	686	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	5	5	5	10	10	6	10	10	8	9	9	9	9	7	9	9	16	6	11	22	9	8	11	3	2	8	7	6	4	10	10	5	0	3	3	3	2	2	
130	148	145	196	68	278	76	166	146	241	193	265	275	189	167	111	112	158	217	112	203	85	114	258	136	53	166	130	140	88	216	173	115	59	153	98	98	171	71	
45	39	42	71	38	79	29	63	48	50	74	76	86	74	60	43	86	93	70	66	108	27	47	116	54	36	81	55	49	42	99	31	36	7	76	26	26	74	46	
1568	1430	1899	1646	860	1542	704	1251	816	898	1179	1441	1470	1153	1125	787	640	1238	1107	963	1541	676	561	1354	862	374	1074	1098	746	452	1112	959	630	313	982	831	1081	800	552	
35	31	12	33	12	51	11	48	30	37	46	54	46	47	24	38	24	30	55	43	40	15	21	45	12	7	37	28	20	15	21	21	19	3	35	10	10	25	4	
7	2	8	7	7	14	4	17	9	15	13	11	12	14	5	4	2	9	9	9	16	5	5	15	5	3	6	7	6	4	11	7	14	2	2	2	2	13	4	
2	8	6	19	4	16	6	19	13	9	14	15	16	17	18	6	7	10	17	9	24	2	7	20	6	2	14	5	12	4	14	7	5	2	11	5	5	13	4	
5	12	10	7	3	18	5	34	10	20	27	23	23	34	14	11	4	27	33	17	21	5	8	22	9	1	14	17	9	8	26	16	9	1	18	7	7	14	3	
