"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	
1064	1031	1016	175	148	83	166	126	68	119	62	81	74	140	179	
1000	1000	1000	200	140	75	150	129	62	133	65	105	86	144	180	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
522	544	436	86	93	43	78	59	31	59	36	59	37	73	89	
41	37	83	20	19	18	24	9	10	18	12	14	20	22	25	
437	419	481	94	28	14	48	61	21	56	17	32	29	49	66	
41	37	83	20	19	18	24	9	10	18	12	14	20	22	25	
522	544	436	86	93	43	78	59	31	59	36	59	37	73	89	
4	4	7	2	1	0	0	1	0	0	0	0	0	0	0	
559	577	512	104	111	61	102	67	41	77	48	73	57	95	114	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	7	3	1	3	2	2	0	0	1	0	0	1	1	0	
40	52	64	8	16	4	11	5	0	9	4	11	1	8	10	
43	52	39	7	7	3	6	2	0	2	6	4	5	9	10	
461	441	393	88	78	50	79	57	41	63	35	58	50	74	89	
4	8	4	0	3	2	3	1	0	0	0	0	0	3	3	
2	9	3	0	2	0	0	2	0	2	2	0	0	0	1	
6	3	5	0	1	0	1	0	0	0	1	0	0	0	0	
1	5	1	0	1	0	0	0	0	0	0	0	0	0	1	
