"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	
109	468	831	1097	137	345	1080	412	340	224	217	270	255	131	65	698	108	
100	350	600	750	100	300	1000	300	350	200	250	230	350	130	100	700	120	
0	0	0	0	0	0	635	0	3	38	0	30	0	3	0	0	0	
49	244	445	499	80	165	206	204	191	125	159	151	202	80	45	457	74	
15	14	19	16	8	5	3	11	47	2	5	11	23	6	7	64	20	
36	92	136	235	12	130	156	85	109	35	86	38	125	41	48	179	26	
15	14	19	16	8	5	638	11	50	40	5	41	23	9	7	64	20	
49	244	445	499	80	165	206	204	191	125	159	151	201	80	45	457	74	
1	3	7	3	2	1	11	7	3	4	0	1	2	0	0	1	0	
63	255	457	512	86	169	833	208	238	161	164	191	222	89	52	520	94	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	2	2	1	5	2	3	1	0	1	1	0	0	2	1	
4	36	85	74	9	17	133	22	44	39	30	59	24	8	10	104	8	
4	35	44	50	13	16	149	18	42	8	0	6	3	2	0	14	4	
54	176	313	375	59	132	504	163	144	110	133	121	187	78	42	393	81	
0	0	9	5	1	0	16	1	3	2	0	4	5	1	0	3	0	
1	3	2	3	0	1	8	2	1	0	0	0	1	0	0	1	0	
0	2	1	1	2	1	8	0	0	1	1	0	1	0	0	2	0	
0	3	2	2	0	1	10	0	1	0	0	0	0	0	0	1	0	
