"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	
671	369	89	851	1661	1537	1568	129	170	103	701	129	435	968	246	130	194	191	680	102	745	165	627	146	427	424	470	169	
690	390	80	890	1700	1550	1600	120	170	100	700	120	450	980	260	140	190	190	720	100	770	160	640	150	430	430	480	165	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
339	205	64	483	862	784	794	88	96	60	398	81	251	470	172	72	119	100	356	56	398	97	302	91	219	214	269	91	
50	25	5	17	68	82	39	0	8	10	13	5	25	93	12	13	13	12	54	9	47	7	69	14	39	51	27	23	
301	160	11	389	770	684	767	32	66	30	289	34	174	417	76	55	58	78	310	35	325	56	269	45	172	165	184	51	
50	25	5	17	68	82	39	0	8	10	13	5	25	93	12	13	13	12	54	9	47	7	69	14	39	51	27	23	
339	205	64	483	862	784	794	88	96	60	398	81	251	470	172	72	119	100	356	56	398	97	302	91	219	214	269	91	
9	1	0	4	16	6	14	0	0	0	6	3	3	6	1	0	0	1	4	0	10	0	6	0	0	1	3	1	
380	229	69	496	914	860	819	88	104	70	405	83	273	557	183	85	132	111	406	65	435	104	365	105	258	264	293	113	
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	0	5	4	4	9	1	1	1	1	0	0	1	3	0	1	0	5	0	2	1	4	0	0	0	3	0	
41	47	9	75	143	133	185	17	25	8	69	5	35	92	31	6	15	9	87	8	85	16	77	4	25	21	19	7	
27	15	6	47	54	66	48	12	11	6	50	3	29	53	11	5	22	15	36	2	47	13	27	9	21	20	31	11	
299	163	54	352	698	641	566	56	66	55	278	75	204	408	133	71	93	85	273	52	291	69	252	92	205	217	234	92	
7	1	0	8	7	3	3	1	1	0	3	0	2	0	2	3	0	1	0	1	7	4	2	0	1	1	3	1	
4	0	0	5	5	7	3	1	0	0	2	0	3	1	1	0	0	0	4	0	2	0	1	0	2	5	2	2	
0	0	0	0	1	3	2	0	0	0	2	0	0	0	0	0	0	1	1	2	0	1	1	0	2	0	1	0	
0	1	0	4	2	3	3	0	0	0	0	0	0	2	2	0	1	0	0	0	1	0	1	0	2	0	0	0	
