"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	
1063	619	1088	908	849	1306	374	627	340	357	108	133	459	122	80	920	63	267	253	462	421	114	568	578	924	192	420	130	261	286	231	153	88	488	82	378	206	83	196	147	466	217	
1030	640	1140	950	890	1340	390	650	350	390	100	140	510	120	80	950	70	350	280	520	460	130	600	590	950	200	450	150	270	320	250	160	90	510	90	380	250	90	210	160	510	220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
574	378	598	545	485	622	241	265	120	150	43	63	199	63	20	417	30	138	185	317	200	41	325	283	488	108	219	89	98	127	109	90	50	256	50	233	116	57	85	71	227	95	
58	23	48	45	41	76	8	120	132	62	38	17	52	10	27	167	12	90	25	76	102	40	48	53	71	14	56	16	74	51	30	12	2	66	8	82	33	2	28	35	56	47	
398	239	494	360	364	642	141	265	98	178	19	60	259	47	33	366	28	122	70	127	158	49	227	254	391	78	175	45	98	142	111	58	38	188	32	65	101	31	97	54	227	78	
58	23	48	45	41	76	8	120	132	62	38	17	52	10	27	167	12	90	25	76	102	40	48	53	71	14	56	16	74	51	30	12	2	66	8	82	33	2	28	35	56	47	
574	378	598	545	485	622	241	265	120	150	43	63	199	63	20	417	30	138	185	317	200	41	325	283	488	108	219	89	98	127	109	90	50	256	50	233	116	57	85	71	227	95	
11	3	7	2	4	4	3	7	1	2	1	1	0	0	0	7	0	0	4	3	0	0	4	7	3	3	2	3	0	6	0	0	0	2	0	0	1	0	1	0	2	0	
621	398	639	588	522	694	246	378	251	210	80	79	251	73	47	577	42	228	206	390	302	81	369	329	556	119	273	102	172	172	139	102	52	320	58	315	148	59	112	106	281	142	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	7	4	3	4	4	5	5	5	0	0	2	0	0	5	1	0	4	4	0	2	2	3	3	1	5	1	5	1	0	2	0	0	0	1	0	0	0	0	3	2	
93	45	124	85	62	79	47	62	7	30	2	9	22	9	3	50	1	34	8	24	18	13	40	47	74	11	42	11	17	21	5	14	7	40	6	24	6	4	10	3	14	10	
71	42	72	60	63	87	24	42	41	33	17	7	24	7	4	72	8	22	24	26	37	22	52	43	64	22	33	14	19	16	11	9	5	42	9	38	16	10	21	19	42	31	
442	297	413	414	382	512	162	256	191	137	57	63	192	56	39	434	29	168	168	329	238	40	272	228	392	83	187	74	126	131	121	71	39	236	42	250	123	45	79	83	218	97	
5	3	11	10	1	6	3	6	4	2	4	0	3	1	0	6	0	1	1	1	1	2	1	2	16	1	2	2	2	0	2	2	0	0	1	1	1	0	1	0	2	1	
4	2	5	13	3	3	2	3	3	0	0	0	0	0	0	6	3	1	0	4	3	2	1	2	3	1	2	0	1	2	0	2	0	1	0	1	2	0	0	0	1	0	
1	2	2	1	6	2	3	2	0	2	0	0	8	0	0	4	0	2	1	1	3	0	1	2	3	0	1	0	1	1	0	1	0	1	0	0	0	0	0	1	1	0	
2	4	5	1	2	1	1	2	0	1	0	0	0	0	1	0	0	0	0	1	2	0	0	2	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	
