"УИК №4401"	"УИК №4402"	"УИК №4403"	"УИК №4404"	"УИК №4405"	"УИК №4406"	"УИК №4407"	"УИК №4408"	"УИК №4409"	"УИК №4410"	"УИК №4411"	"УИК №4412"	"УИК №4413"	"УИК №4414"	"УИК №4415"	"УИК №4416"	"УИК №4417"	"УИК №4418"	"УИК №4419"	"УИК №4420"	"УИК №4421"	"УИК №4422"	"УИК №4423"	"УИК №4424"	"УИК №4425"	"УИК №4426"	"УИК №4427"	
186	258	187	143	130	698	348	383	714	152	374	259	136	312	277	165	233	143	278	160	454	121	894	706	810	855	989	
200	300	225	170	140	785	390	395	770	180	460	280	155	355	295	175	245	150	295	165	530	135	940	800	880	905	1080	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
165	185	152	117	114	578	301	308	624	123	312	214	105	269	247	129	192	110	197	124	383	91	733	613	628	776	828	
14	54	28	22	14	86	34	57	39	15	46	36	21	34	23	30	35	24	56	30	53	19	71	54	72	53	53	
21	61	45	31	12	121	55	30	107	42	102	30	29	52	25	16	18	16	42	11	94	25	136	133	180	76	199	
14	54	28	22	14	86	34	57	39	15	46	36	21	34	23	30	35	24	56	30	53	19	71	54	72	53	53	
165	185	152	117	114	578	301	308	624	123	312	214	105	269	247	129	192	110	197	124	383	91	733	613	628	776	828	
3	0	1	1	0	19	6	3	6	1	3	0	1	0	0	1	1	0	1	0	11	1	7	3	4	3	6	
176	239	179	138	128	645	329	362	657	137	355	250	125	303	270	158	226	134	252	154	425	109	797	664	696	826	875	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	1	0	0	1	0	1	4	0	2	0	1	0	0	0	3	2	1	0	1	2	5	4	5	1	5	
34	52	26	25	12	116	67	33	96	24	67	25	34	12	12	9	34	14	21	18	91	11	139	130	154	165	153	
7	9	10	5	8	13	20	8	44	3	18	15	3	7	11	2	13	5	14	8	16	4	32	31	36	55	56	
133	173	140	101	108	498	237	309	506	107	260	206	87	281	245	147	168	108	215	127	304	87	606	491	491	600	642	
1	1	1	0	0	5	2	4	5	3	6	1	0	1	0	0	2	1	0	0	3	1	9	4	5	4	8	
0	0	1	3	0	5	1	5	0	0	2	2	0	2	1	0	1	4	0	1	4	4	2	2	2	1	5	
0	0	0	3	0	5	1	0	1	0	0	1	0	0	1	0	3	0	1	0	4	0	0	1	1	0	3	
0	1	0	1	0	2	1	2	1	0	0	0	0	0	0	0	2	0	0	0	2	0	4	1	2	0	3	
