"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	
218	960	333	2459	349	791	308	518	
220	1007	355	2430	353	817	335	549	
25	12	50	30	69	202	38	24	
178	880	268	2226	259	553	256	449	
7	45	8	121	9	14	9	19	
10	70	29	53	16	48	32	57	
32	57	58	151	78	216	47	43	
178	880	268	2226	259	553	256	449	
3	12	3	16	4	7	2	5	
207	925	323	2361	333	762	301	487	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

2	2	1	8	2	2	0	1	
4	23	5	41	4	7	3	14	
6	31	7	72	8	17	5	21	
187	861	306	2210	312	726	286	445	
3	2	2	10	2	2	3	0	
2	3	1	9	1	3	1	0	
3	3	0	7	2	2	2	2	
0	0	1	4	2	3	1	4	
