"УИК №4201"	"УИК №4202"	"УИК №4203"	"УИК №4204"	"УИК №4205"	"УИК №4206"	"УИК №4207"	"УИК №4208"	"УИК №4209"	"УИК №4210"	"УИК №4211"	"УИК №4212"	"УИК №4213"	"УИК №4214"	"УИК №4215"	"УИК №4216"	"УИК №4217"	"УИК №4218"	"УИК №4219"	"УИК №4220"	"УИК №4221"	"УИК №4222"	"УИК №4223"	"УИК №4224"	
905	1049	874	748	766	127	390	628	543	189	152	307	330	721	696	125	528	728	370	939	243	307	207	334	
900	1000	900	700	800	130	420	630	560	190	150	400	340	770	760	180	550	770	370	900	230	380	220	360	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
538	538	588	391	374	80	251	335	315	62	88	197	199	373	449	19	261	444	170	500	125	205	160	136	
53	85	53	36	68	8	32	66	43	48	26	57	51	126	67	84	175	79	88	115	47	74	8	180	
309	377	259	273	358	42	137	229	202	80	36	146	90	271	244	77	114	247	112	285	58	101	52	44	
53	85	53	36	68	8	32	66	43	48	26	57	51	126	67	84	175	79	88	115	47	74	8	180	
538	538	588	391	374	80	251	335	315	62	88	197	199	373	449	19	261	444	170	500	125	205	160	136	
3	1	9	10	2	2	4	4	4	0	1	5	1	5	6	0	2	2	2	3	0	1	0	3	
588	622	632	417	440	86	279	397	354	110	113	249	249	494	510	103	434	521	256	612	172	278	168	313	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	2	2	3	2	0	6	4	1	0	0	0	2	9	0	6	4	2	4	0	2	2	0	
60	70	103	39	56	14	50	41	54	20	12	29	20	38	74	2	43	78	22	65	18	30	8	38	
58	43	42	34	37	8	38	34	28	11	20	29	20	45	18	10	45	45	18	55	15	13	9	11	
454	491	468	331	339	61	186	312	259	75	79	180	208	402	398	91	329	380	207	474	137	228	147	259	
6	7	7	4	2	0	3	2	2	0	1	5	0	0	4	0	7	3	3	4	1	1	0	1	
4	7	6	6	3	1	1	2	4	3	1	2	1	6	4	0	1	3	2	6	0	3	2	1	
1	2	2	0	0	0	0	0	3	0	0	3	0	0	2	0	2	7	2	3	1	1	0	0	
2	0	2	1	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0	3	
