"УИК №1949"	"УИК №1950"	"УИК №1951"	"УИК №1952"	"УИК №1953"	"УИК №1954"	"УИК №1955"	"УИК №1956"	"УИК №1957"	"УИК №1958"	"УИК №1959"	"УИК №1960"	"УИК №1961"	"УИК №1962"	"УИК №1963"	"УИК №1964"	"УИК №1965"	"УИК №1966"	"УИК №1967"	"УИК №1968"	"УИК №1969"	"УИК №1970"	"УИК №1971"	"УИК №1972"	"УИК №1973"	"УИК №1974"	"УИК №1975"	"УИК №1976"	"УИК №1977"	"УИК №1978"	"УИК №1979"	"УИК №1980"	"УИК №1981"	"УИК №1982"	"УИК №1983"	"УИК №1984"	"УИК №1985"	"УИК №1986"	"УИК №1987"	"УИК №1988"	"УИК №1989"	"УИК №1990"	"УИК №1991"	"УИК №1992"	"УИК №1993"	"УИК №1994"	"УИК №1995"	"УИК №1996"	"УИК №1997"	"УИК №1998"	"УИК №1999"	"УИК №2000"	"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	
2119	2420	2318	1748	2649	2283	2044	1443	2619	2511	1307	2426	2528	2519	2656	1394	2013	2694	2270	2576	2178	1582	1849	1697	1722	2179	1396	2095	2737	2529	2035	1448	1613	1760	184	2399	1961	1585	351	1649	1537	1156	1051	2160	887	2339	2506	3099	1301	2181	2035	2465	2593	1392	2502	2321	2247	2013	1732	2391	2190	2487	2702	2518	2274	2670	2544	2145	2195	2789	2096	1901	1956	367	
1800	2500	2000	1500	2500	2500	2000	1000	2500	2500	1000	2500	2500	2500	2500	1300	2000	2500	2000	2500	2000	1500	2000	1500	1500	2000	1000	2000	2500	2500	2000	1500	1500	2000	185	2000	1500	1500	352	1500	1200	1000	1000	1500	800	2000	2000	3000	1500	2000	2000	2500	2500	1100	2500	2500	2500	2500	1700	2500	2000	2000	2500	2500	2500	2500	2500	2000	2000	2500	2000	2000	2000	370	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1548	1551	1455	1110	1680	1538	1316	876	1589	1560	827	1492	1628	1512	1688	924	1176	1592	1377	1610	1478	1099	1201	1148	1077	1454	750	1539	1849	1587	1294	1064	1004	1163	121	1581	1238	1090	168	1065	978	720	571	1331	576	1381	1463	2181	811	1546	1283	1273	1542	948	1465	1560	1614	1561	1246	1770	1582	1634	1618	1635	1378	1535	1364	1448	1486	1805	790	1220	1230	192	
41	58	43	54	35	58	39	10	66	57	21	78	53	49	55	53	53	41	106	117	48	72	10	7	129	70	99	37	45	16	25	6	26	71	63	42	54	55	173	31	128	66	36	42	41	40	41	15	53	23	44	58	79	27	3	24	4	1	41	33	55	52	4	3	11	8	61	9	8	9	125	73	49	153	
211	891	502	336	785	904	645	114	845	883	152	930	819	939	757	323	771	867	517	773	474	329	789	345	294	476	151	424	606	897	681	430	470	766	1	377	208	355	11	404	94	214	393	125	183	579	496	804	636	431	673	1169	879	125	1032	916	882	938	413	697	363	314	878	862	1111	957	1075	543	506	686	1085	707	721	25	
41	57	43	54	35	58	39	10	66	57	21	78	53	49	55	53	53	41	106	117	48	72	10	7	129	70	99	37	45	16	25	6	26	71	63	42	54	55	173	31	128	66	36	42	41	40	41	15	53	23	44	58	79	27	3	23	4	1	41	33	55	52	4	3	11	8	61	9	8	9	125	73	49	153	
1548	1551	1452	1110	1680	1538	1316	876	1585	1554	825	1492	1628	1512	1683	924	1176	1589	1377	1610	1477	1099	1199	1148	1076	1454	750	1539	1849	1585	1294	1062	1004	1160	121	1580	1236	1088	168	1065	976	720	571	1331	575	1381	1463	2166	811	1546	1280	1273	1542	948	1465	1560	1614	1561	1246	1770	1582	1631	1609	1634	1378	1535	1364	1447	1481	1800	790	1220	1230	192	
19	14	16	16	16	17	16	8	25	23	17	17	22	14	23	14	10	21	12	16	20	19	14	12	19	16	16	19	30	16	17	16	15	10	2	11	25	11	1	12	14	12	6	14	3	7	8	17	11	11	11	15	20	9	16	15	27	15	10	18	14	17	22	8	19	18	7	14	17	11	17	17	9	3	
1570	1594	1479	1148	1699	1579	1339	878	1626	1588	829	1553	1659	1547	1715	963	1219	1609	1471	1711	1505	1152	1195	1143	1186	1508	833	1557	1864	1585	1302	1052	1015	1221	182	1611	1265	1132	340	1084	1090	774	601	1359	613	1414	1496	2164	853	1558	1313	1316	1601	966	1452	1568	1591	1547	1277	1785	1623	1666	1591	1629	1370	1525	1418	1442	1472	1798	898	1276	1270	342	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	13	11	11	11	13	19	5	17	9	3	25	13	24	22	6	10	8	16	12	23	11	9	13	15	15	3	11	17	15	8	16	15	8	2	16	17	6	3	6	5	7	8	15	5	12	4	18	4	6	9	8	11	8	5	8	11	14	5	8	17	12	9	11	6	6	16	9	6	5	4	9	12	7	
146	135	123	119	183	131	140	95	159	162	69	138	175	144	162	100	135	174	163	180	153	110	116	124	125	139	65	137	241	181	151	109	127	101	5	143	121	112	13	100	102	68	48	125	66	124	148	242	77	182	137	121	189	70	143	156	145	152	92	133	139	193	169	190	143	168	122	159	141	179	65	146	112	26	
74	54	54	40	69	64	41	37	65	59	33	69	58	75	67	31	42	52	63	76	41	37	64	31	50	51	32	68	54	51	96	42	35	67	1	53	61	51	11	31	59	42	37	51	17	67	75	99	54	67	44	52	79	31	80	81	83	83	65	82	56	38	93	112	85	92	57	79	107	81	48	54	58	10	
1189	1251	1181	902	1272	1269	1039	659	1234	1214	657	1182	1253	1142	1314	751	930	1208	1091	1272	1151	906	939	892	902	1186	666	1242	1318	1250	983	797	782	979	165	1245	949	861	302	868	834	615	476	1063	461	1119	1162	1628	659	1185	1039	1089	1222	769	1163	1253	1273	1225	1068	1489	1324	1255	1226	1217	1073	1183	1129	1118	1146	1462	743	970	1026	289	
59	51	46	28	75	51	46	31	65	53	38	62	70	61	62	35	37	75	54	72	67	25	35	32	36	52	29	41	115	43	31	47	19	28	4	55	41	54	3	35	33	15	17	33	35	40	60	84	30	61	32	24	43	47	30	35	38	25	20	41	36	80	43	52	33	31	41	41	28	28	19	46	25	3	
18	16	7	10	8	6	9	8	7	20	1	12	15	13	7	7	14	6	9	11	8	7	2	10	7	13	5	10	10	3	6	11	9	8	1	13	6	9	6	4	10	8	8	9	4	13	7	16	7	6	13	6	7	3	6	2	7	9	8	6	1	3	13	5	6	5	9	7	10	13	2	8	7	2	
31	34	20	15	28	17	19	22	28	31	5	27	26	29	29	22	20	33	28	38	25	20	14	22	11	17	17	22	45	19	5	14	12	11	1	30	31	17	0	10	15	14	3	29	14	14	13	35	12	21	12	4	20	18	11	10	17	19	6	10	20	35	18	22	12	12	17	15	15	17	9	19	14	1	
39	40	37	23	53	28	26	21	51	40	23	38	49	59	52	11	31	53	47	50	37	36	16	19	40	35	16	26	64	23	22	16	16	19	3	56	39	22	2	30	32	5	4	34	11	25	27	42	10	30	27	12	30	20	14	23	17	20	13	16	30	50	20	20	12	28	27	14	19	13	8	24	16	4	
