"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №2355"	
607	77	194	119	948	229	469	98	66	206	201	150	406	400	122	106	892	483	1078	1584	577	187	1050	139	261	351	752	194	407	1203	624	1049	108	455	152	171	82	942	197	175	75	175	814	79	121	221	232	121	65	781	131	192	81	97	310	112	64	
600	77	190	130	930	220	450	100	60	200	195	124	400	400	115	97	860	470	1060	1500	570	180	920	130	240	330	750	180	390	1170	610	1020	100	400	140	170	70	900	180	170	70	170	810	70	120	200	210	125	60	760	120	180	70	95	330	115	55	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
414	60	121	93	551	109	269	70	33	99	118	106	241	272	87	74	488	237	514	907	290	115	733	99	190	213	564	142	214	674	399	590	77	282	100	105	57	545	128	115	46	88	665	56	77	153	146	78	44	518	89	141	62	65	188	75	46	
56	7	26	10	58	32	110	17	16	19	17	7	52	52	8	1	96	64	42	91	60	8	46	5	39	19	61	19	39	94	84	64	11	26	17	25	2	62	9	17	3	15	75	8	6	12	30	18	3	53	21	13	8	15	43	20	0	
130	10	43	27	321	79	71	13	11	82	60	11	107	76	20	22	276	169	504	502	220	57	141	26	11	98	125	19	137	402	127	366	12	92	23	40	11	293	43	38	21	67	70	6	37	35	34	29	13	189	10	26	0	15	99	20	9	
56	7	26	10	58	32	110	17	16	19	17	7	52	52	8	1	96	64	42	91	60	8	46	5	39	19	61	19	39	94	84	64	11	26	17	25	2	62	9	17	3	15	75	8	6	12	30	18	3	53	21	13	8	15	43	20	0	
414	60	121	93	551	109	269	70	33	99	118	106	241	272	87	74	488	237	514	907	290	115	732	99	190	213	564	142	214	674	399	590	77	282	100	105	57	545	128	115	46	88	665	56	77	153	146	78	44	518	89	141	62	65	188	75	46	
0	0	2	1	8	0	1	0	0	1	1	2	4	4	0	0	6	1	11	24	5	0	9	1	1	7	8	2	5	7	3	9	4	1	0	0	1	7	3	6	0	3	14	0	1	0	1	0	0	13	3	1	0	0	2	1	1	
470	67	145	102	601	141	378	87	49	117	134	111	289	320	95	75	578	300	545	974	345	123	769	103	228	225	617	159	248	761	480	645	84	307	117	130	58	600	134	126	49	100	726	64	82	165	175	96	47	558	107	153	70	80	229	94	45	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	1	1	3	2	2	0	0	0	0	0	2	3	0	0	8	0	1	7	0	1	3	0	0	1	5	0	1	5	3	2	1	1	0	1	0	4	0	1	1	1	1	0	1	2	2	0	0	1	0	0	0	1	2	0	0	
68	3	15	7	77	38	28	5	4	10	8	11	33	31	8	9	82	33	90	177	60	13	105	5	16	28	116	9	25	174	56	134	5	64	24	7	1	136	16	19	4	11	117	4	13	11	14	11	8	68	3	22	3	4	18	12	1	
32	4	16	7	33	13	20	7	5	9	10	12	27	26	4	8	37	13	73	96	57	6	49	8	17	15	61	17	15	63	31	50	4	26	15	7	7	48	11	14	2	11	44	3	12	12	7	7	4	82	11	18	3	6	20	5	6	
354	58	111	85	477	86	327	73	40	97	116	84	223	246	82	58	439	248	372	672	221	96	590	88	189	178	426	131	203	509	377	439	74	212	70	115	47	397	104	92	42	75	554	56	54	140	151	72	35	399	87	111	64	68	186	74	38	
2	2	1	1	3	1	1	1	0	0	0	0	2	12	0	0	4	3	2	14	5	1	11	0	2	0	3	0	3	0	1	3	0	0	0	0	1	7	0	0	0	1	4	0	2	0	1	0	0	5	0	1	0	0	0	0	0	
4	0	1	1	3	0	0	0	0	0	0	0	2	0	1	0	3	3	4	4	0	5	5	2	0	2	3	0	1	6	4	11	0	3	3	0	0	2	2	0	0	1	4	1	0	0	0	2	0	1	3	0	0	1	2	2	0	
5	0	0	0	3	0	0	1	0	0	0	2	0	1	0	0	3	0	1	2	2	1	5	0	1	1	0	2	0	1	4	3	0	1	4	0	1	3	0	0	0	0	2	0	0	0	0	3	0	2	0	1	0	0	1	1	0	
2	0	0	0	2	1	0	0	0	1	0	2	0	1	0	0	2	0	2	2	0	0	1	0	3	0	3	0	0	3	4	3	0	0	1	0	1	3	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	
