"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	
2242	2194	300	251	293	179	186	189	1006	1273	195	146	332	221	128	114	449	447	578	
2200	2200	260	250	290	180	180	200	1000	1300	180	125	300	200	125	100	400	400	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1187	1147	129	123	120	115	94	93	419	569	96	80	155	90	59	61	232	184	291	
61	32	47	24	27	22	13	15	90	65	14	13	45	34	13	12	36	54	29	
952	1021	84	103	143	43	73	92	491	666	70	32	100	76	53	27	132	162	180	
61	32	47	24	27	22	13	15	90	65	14	13	45	34	13	12	36	54	29	
1187	1147	129	123	120	115	94	93	418	569	96	80	155	90	59	61	232	184	291	
15	20	2	1	1	0	3	0	4	7	0	1	0	2	0	0	1	1	4	
1233	1159	174	146	146	137	104	108	504	627	110	92	200	122	72	73	267	237	316	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	14	0	1	2	0	2	2	3	7	1	0	1	1	1	2	0	4	1	
158	181	11	27	16	11	13	9	35	84	17	2	12	9	1	7	16	21	47	
99	90	26	7	14	14	10	6	55	47	7	7	18	10	5	4	10	15	20	
908	828	134	108	114	108	76	87	396	476	80	82	164	96	65	58	231	192	242	
22	17	1	0	0	2	0	2	5	4	3	0	2	1	0	1	6	2	3	
21	13	1	0	0	0	0	1	4	4	0	1	2	0	0	1	1	2	0	
7	8	0	3	0	0	1	0	4	0	1	0	0	0	0	0	2	1	1	
11	8	1	0	0	2	2	1	2	5	1	0	1	5	0	0	1	0	2	
