"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	
1285	2248	374	2833	2269	2675	2556	2551	2545	2499	1411	85	
1317	2318	393	2936	2413	2836	2627	2646	2661	2657	1456	424	
0	0	0	0	0	0	0	0	0	0	0	0	
756	1271	176	1755	1355	1755	1542	1451	1551	1527	876	59	
17	37	19	22	13	6	34	25	23	15	9	23	
544	1010	198	1159	1045	1075	1051	1170	1087	1115	571	342	
17	37	19	22	13	6	34	25	23	15	9	23	
756	1271	176	1753	1354	1754	1538	1448	1551	1526	876	59	
5	8	1	11	17	12	22	13	20	26	5	0	
768	1300	194	1764	1350	1748	1550	1460	1554	1515	880	82	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

3	7	0	17	10	11	10	5	12	7	2	0	
84	134	15	142	100	150	123	128	145	152	84	2	
67	83	17	127	108	96	104	128	96	107	47	2	
577	1013	157	1381	1050	1405	1242	1119	1215	1186	706	73	
23	26	1	43	39	30	28	39	44	26	15	4	
4	9	1	15	10	10	12	9	12	8	4	1	
2	16	1	13	18	29	10	12	18	10	11	0	
8	12	2	26	15	17	21	20	12	19	11	0	
