"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1048"	"УИК №1049"	"УИК №1050"	"УИК №1051"	"УИК №1052"	"УИК №1053"	"УИК №1054"	"УИК №1055"	"УИК №1056"	"УИК №1057"	"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	
287	434	136	269	660	135	586	93	400	525	313	146	108	79	271	71	274	664	624	718	693	696	740	
328	504	150	271	692	145	628	94	418	563	335	152	120	82	290	71	302	717	670	786	751	688	815	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
201	290	121	160	367	75	398	76	210	366	212	90	80	60	118	55	205	476	352	400	400	372	571	
51	83	9	77	93	54	114	13	128	93	45	35	15	13	100	11	42	93	68	98	90	203	101	
76	131	20	34	232	16	116	5	80	104	78	27	25	9	72	5	55	148	250	288	261	113	143	
51	83	9	77	93	54	114	13	128	93	45	35	15	13	100	11	42	93	68	98	90	203	101	
201	290	121	160	367	75	398	76	210	366	212	90	80	60	118	55	205	476	352	400	400	372	571	
3	3	2	0	8	0	3	0	0	6	5	0	0	2	0	0	0	2	8	7	6	6	13	
249	370	128	237	452	129	509	89	338	453	252	125	95	71	218	66	247	567	412	491	484	569	659	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	0	2	5	0	1	0	3	2	0	2	2	2	1	3	0	2	3	2	3	1	5	
16	23	11	21	76	2	16	11	17	67	22	4	7	1	18	1	14	51	87	73	86	68	82	
12	20	8	11	38	7	13	3	18	21	12	4	4	8	24	3	8	14	36	43	39	11	49	
216	317	106	202	324	120	476	74	293	351	217	113	80	58	173	59	222	488	274	361	345	485	502	
0	1	1	0	4	0	0	1	3	4	0	1	0	0	0	0	1	3	5	1	3	3	10	
3	0	1	1	3	0	1	0	2	2	0	0	2	2	1	0	1	3	4	6	2	0	4	
1	7	1	0	0	0	1	0	2	2	0	1	0	0	1	0	0	5	1	3	3	0	3	
0	0	0	0	2	0	1	0	0	4	1	0	0	0	0	0	1	1	2	2	3	1	4	
