"УИК №798"	"УИК №799"	"УИК №800"	"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	
1784	1106	378	239	180	99	208	126	197	99	148	150	205	184	99	
1850	1150	380	230	170	100	200	130	180	100	150	150	200	180	95	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1044	642	195	136	102	52	117	72	125	59	76	102	115	65	58	
51	62	62	22	22	21	28	26	34	11	28	32	25	61	22	
755	446	123	72	46	27	55	32	21	30	46	16	60	54	15	
51	62	62	22	22	21	28	26	34	11	28	32	25	61	22	
1044	642	195	136	102	52	117	72	125	59	76	102	115	65	58	
11	3	1	0	0	0	0	0	0	0	1	0	0	0	0	
1084	701	256	158	124	73	145	98	159	70	103	134	140	126	80	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	5	0	0	1	0	2	0	0	0	1	0	0	0	1	
107	51	16	7	18	4	27	1	6	5	3	4	12	5	2	
107	64	23	7	7	0	11	14	9	4	17	15	5	14	2	
840	566	211	144	93	67	103	82	142	58	81	115	122	106	73	
12	2	3	0	3	2	1	1	0	0	0	0	1	0	0	
4	4	2	0	1	0	0	0	1	1	1	0	0	0	0	
4	3	0	0	1	0	1	0	0	1	0	0	0	0	1	
3	6	1	0	0	0	0	0	1	1	0	0	0	1	1	
